experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.22652666363120122,29,37316,8,21,44,37272,0.27586206896551724,0.15384615384615385,0.0011791188766212884,0.9197376737721824,0.17608296681250163
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.13582191787660083,29,37316,20,9,200,37116,0.6896551724137931,0.09090909090909091,0.005359631257369493,0.9197376737721824,0.17608296681250163
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.09242067947983762,29,37316,24,5,390,36926,0.8275862068965517,0.057971014492753624,0.010451280951870512,0.9197376737721824,0.17608296681250163
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.03572045471519227,29,37316,25,4,1907,35409,0.8620689655172413,0.012939958592132506,0.051104084039018116,0.9197376737721824,0.17608296681250163
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.22652666363120122,27,37286,8,19,41,37245,0.2962962962962963,0.16326530612244897,0.001099608432119294,0.9091640989270127,0.11821705361072073
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.13582191787660083,27,37286,17,10,223,37063,0.6296296296296297,0.07083333333333333,0.0059807970820146975,0.9091640989270127,0.11821705361072073
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.09242067947983762,27,37286,20,7,468,36818,0.7407407407407407,0.040983606557377046,0.012551627956873894,0.9091640989270127,0.11821705361072073
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.03572045471519227,27,37286,22,5,2069,35217,0.8148148148148148,0.010521281683405069,0.0554899962452395,0.9091640989270127,0.11821705361072073
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.22652666363120122,18,37265,5,13,55,37210,0.2777777777777778,0.08333333333333333,0.0014759157386287402,0.9200888531091134,0.07382008506178354
tos_proposed_focal,TOSHIBA_20MG07ACA14TA,gru_tuned_focal,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.13582191787660083,18,37265,13,5,256,37009,0.7222222222222222,0.048327137546468404,0.006869716892526499,0.9200888531091134,0.07382008506178354
