experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.6353969960510746,32,37345,6,26,56,37289,0.1875,0.0967741935483871,0.001499531396438613,0.8860372874548132,0.07898907493246768
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.601075938016175,32,37345,16,16,201,37144,0.5,0.07373271889400922,0.005382246619360022,0.8860372874548132,0.07898907493246768
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.5557068170905114,32,37345,21,11,383,36962,0.65625,0.05198019801980198,0.010255723657785513,0.8860372874548132,0.07898907493246768
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.42456091254949585,32,37345,25,7,1856,35489,0.78125,0.013290802764486975,0.04969875485339403,0.8860372874548132,0.07898907493246768
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.6353969960510746,29,37316,10,19,62,37254,0.3448275862068966,0.1388888888888889,0.0016614856897845427,0.929863680551192,0.1407904941304301
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.601075938016175,29,37316,13,16,216,37100,0.4482758620689655,0.056768558951965066,0.005788401757959053,0.929863680551192,0.1407904941304301
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.5557068170905114,29,37316,20,9,402,36914,0.6896551724137931,0.04739336492890995,0.010772858827312682,0.929863680551192,0.1407904941304301
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.42456091254949585,29,37316,24,5,1946,35370,0.8275862068965517,0.012182741116751269,0.05214921213420517,0.929863680551192,0.1407904941304301
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.6353969960510746,27,37286,10,17,69,37217,0.37037037037037035,0.12658227848101267,0.0018505605321032022,0.8889345817415334,0.10607731075029679
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.601075938016175,27,37286,16,11,243,37043,0.5925925925925926,0.06177606177606178,0.00651719143914606,0.8889345817415334,0.10607731075029679
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.5557068170905114,27,37286,20,7,438,36848,0.7407407407407407,0.043668122270742356,0.01174703642117685,0.8889345817415334,0.10607731075029679
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.42456091254949585,27,37286,21,6,2170,35116,0.7777777777777778,0.009584664536741214,0.05819878774875288,0.8889345817415334,0.10607731075029679
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.6353969960510746,18,37265,7,11,88,37177,0.3888888888888889,0.07368421052631578,0.002361465181805984,0.9311269138452823,0.08565371122806821
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.601075938016175,18,37265,12,6,270,36995,0.6666666666666666,0.0425531914893617,0.007245404535086542,0.9311269138452823,0.08565371122806821
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.5557068170905114,18,37265,13,5,476,36789,0.7222222222222222,0.026584867075664622,0.01277337984704146,0.9311269138452823,0.08565371122806821
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.42456091254949585,18,37265,16,2,2264,35001,0.8888888888888888,0.007017543859649123,0.06075405876828123,0.9311269138452823,0.08565371122806821
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.6353969960510746,29,37220,7,22,102,37118,0.2413793103448276,0.06422018348623854,0.0027404621171413217,0.9308501176601383,0.07526379690063939
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.601075938016175,29,37220,13,16,301,36919,0.4482758620689655,0.041401273885350316,0.008087049973132724,0.9308501176601383,0.07526379690063939
