experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28669438475370546,32,37345,8,24,30,37315,0.25,0.21052631578947367,0.000803320390949257,0.9150965658053287,0.17320339224076833
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.1754753729701013,32,37345,23,9,158,37187,0.71875,0.1270718232044199,0.004230820725666087,0.9150965658053287,0.17320339224076833
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.1056978273391724,32,37345,23,9,349,36996,0.71875,0.06182795698924731,0.009345293881376355,0.9150965658053287,0.17320339224076833
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.036515809595584876,32,37345,25,7,2005,35340,0.78125,0.012315270935960592,0.05368857946177534,0.9150965658053287,0.17320339224076833
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28669438475370546,29,37316,7,22,33,37283,0.2413793103448276,0.175,0.0008843391574659663,0.8873322343009007,0.19612220958338464
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.1754753729701013,29,37316,18,11,158,37158,0.6206896551724138,0.10227272727272728,0.004234108693321899,0.8873322343009007,0.19612220958338464
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.1056978273391724,29,37316,23,6,349,36967,0.7931034482758621,0.06182795698924731,0.009352556544109766,0.8873322343009007,0.19612220958338464
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.036515809595584876,29,37316,24,5,1561,35755,0.8275862068965517,0.015141955835962145,0.04183192196376889,0.8873322343009007,0.19612220958338464
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28669438475370546,27,37286,7,20,38,37248,0.25925925925925924,0.15555555555555556,0.0010191492785495897,0.8917675386054937,0.13167529105625522
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.1754753729701013,27,37286,17,10,174,37112,0.6296296296296297,0.08900523560209424,0.004666630907042858,0.8917675386054937,0.13167529105625522
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.1056978273391724,27,37286,19,8,386,36900,0.7037037037037037,0.04691358024691358,0.010352411092635306,0.8917675386054937,0.13167529105625522
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.036515809595584876,27,37286,22,5,1920,35366,0.8148148148148148,0.01132852729145211,0.051493858284610845,0.8917675386054937,0.13167529105625522
