experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28745159548521126,32,37345,6,26,29,37316,0.1875,0.17142857142857143,0.0007765430445842817,0.8957114406212344,0.11022028503330088
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.11948157370090438,32,37345,19,13,156,37189,0.59375,0.10857142857142857,0.004177266032936136,0.8957114406212344,0.11022028503330088
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02682728104293347,32,37345,23,9,335,37010,0.71875,0.06424581005586592,0.008970411032266703,0.8957114406212344,0.11022028503330088
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0019531261059455582,32,37345,26,6,1842,35503,0.8125,0.013918629550321198,0.049323872004284376,0.8957114406212344,0.11022028503330088
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28745159548521126,29,37316,8,21,33,37283,0.27586206896551724,0.1951219512195122,0.0008843391574659663,0.9161282393426504,0.19256625284457
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.11948157370090438,29,37316,18,11,151,37165,0.6206896551724138,0.10650887573964497,0.004046521599313967,0.9161282393426504,0.19256625284457
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02682728104293347,29,37316,24,5,344,36972,0.8275862068965517,0.06521739130434782,0.009218565762675528,0.9161282393426504,0.19256625284457
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0019531261059455582,29,37316,25,4,1708,35608,0.8620689655172413,0.014425851125216388,0.04577125093793547,0.9161282393426504,0.19256625284457
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28745159548521126,27,37286,9,18,46,37240,0.3333333333333333,0.16363636363636364,0.0012337070214021347,0.8814777068545239,0.12687697460027253
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.11948157370090438,27,37286,15,12,174,37112,0.5555555555555556,0.07936507936507936,0.004666630907042858,0.8814777068545239,0.12687697460027253
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02682728104293347,27,37286,19,8,383,36903,0.7037037037037037,0.0472636815920398,0.010271951939065601,0.8814777068545239,0.12687697460027253
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0019531261059455582,27,37286,20,7,1945,35341,0.7407407407407407,0.010178117048346057,0.05216435123102505,0.8814777068545239,0.12687697460027253
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28745159548521126,18,37265,6,12,48,37217,0.3333333333333333,0.1111111111111111,0.0012880719173487187,0.9262429744920018,0.10966551877073918
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.11948157370090438,18,37265,13,5,211,37054,0.7222222222222222,0.05803571428571429,0.005662149470012075,0.9262429744920018,0.10966551877073918
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02682728104293347,18,37265,13,5,441,36824,0.7222222222222222,0.028634361233480177,0.011834160740641352,0.9262429744920018,0.10966551877073918
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0019531261059455582,18,37265,15,3,1904,35361,0.8333333333333334,0.007816571130797291,0.05109351938816584,0.9262429744920018,0.10966551877073918
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.28745159548521126,29,37220,7,22,51,37169,0.2413793103448276,0.1206896551724138,0.0013702310585706609,0.9244038244177213,0.08017915630538859
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.11948157370090438,29,37220,16,13,226,36994,0.5517241379310345,0.06611570247933884,0.006072004298764105,0.9244038244177213,0.08017915630538859
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02682728104293347,29,37220,24,5,451,36769,0.8275862068965517,0.05052631578947368,0.012117141321869963,0.9244038244177213,0.08017915630538859
