experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16451991977264577,16,9782,4,12,20,9762,0.25,0.16666666666666666,0.0020445716622367613,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0882674696509082,16,9782,10,6,81,9701,0.625,0.10989010989010989,0.008280515232058883,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0600492000450638,16,9782,10,6,144,9638,0.625,0.06493506493506493,0.014720915968104683,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.013377541356929656,16,9782,12,4,639,9143,0.75,0.018433179723502304,0.06532406460846453,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16451991977264577,17,9741,7,10,27,9714,0.4117647058823529,0.20588235294117646,0.002771789344009855,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0882674696509082,17,9741,10,7,91,9650,0.5882352941176471,0.09900990099009901,0.009341956677959142,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0600492000450638,17,9741,12,5,150,9591,0.7058823529411765,0.07407407407407407,0.015398829688943641,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.013377541356929656,17,9741,14,3,647,9094,0.8235294117647058,0.02118003025718608,0.06642028539164357,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16451991977264577,14,9724,4,10,36,9688,0.2857142857142857,0.1,0.003702180172768408,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0882674696509082,14,9724,7,7,111,9613,0.5,0.059322033898305086,0.01141505553270259,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0600492000450638,14,9724,9,5,191,9533,0.6428571428571429,0.045,0.019642122583299053,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.013377541356929656,14,9724,13,1,690,9034,0.9285714285714286,0.01849217638691323,0.07095845331139448,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,16,9782,5,11,15,9767,0.3125,0.25,0.001533428746677571,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07697458066046238,16,9782,10,6,69,9713,0.625,0.12658227848101267,0.0070537722347168265,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06415834024548533,16,9782,10,6,116,9666,0.625,0.07936507936507936,0.011858515640973216,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004152531502768387,16,9782,13,3,505,9277,0.8125,0.025096525096525095,0.05162543447147822,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,17,9741,2,15,7,9734,0.11764705882352941,0.2222222222222222,0.0007186120521507032,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07697458066046238,17,9741,10,7,71,9670,0.5882352941176471,0.12345679012345678,0.00728877938609999,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06415834024548533,17,9741,11,6,125,9616,0.6470588235294118,0.08088235294117647,0.0128323580741197,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004152531502768387,17,9741,15,2,505,9236,0.8823529411764706,0.028846153846153848,0.05184272661944359,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,14,9724,0,14,12,9712,0.0,0.0,0.0012340600575894694,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07697458066046238,14,9724,7,7,81,9643,0.5,0.07954545454545454,0.008329905388728917,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06415834024548533,14,9724,9,5,141,9583,0.6428571428571429,0.06,0.014500205676676266,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004152531502768387,14,9724,12,2,509,9215,0.8571428571428571,0.023032629558541268,0.052344714109419994,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.17830142024977427,16,9782,5,11,12,9770,0.3125,0.29411764705882354,0.0012267429973420569,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08711679451854083,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.027100460433401544,16,9782,6,10,101,9681,0.375,0.056074766355140186,0.010325086894295645,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0037216248005541544,16,9782,12,4,571,9211,0.75,0.02058319039451115,0.05837252095685954,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.17830142024977427,17,9741,1,16,7,9734,0.058823529411764705,0.125,0.0007186120521507032,0.9352011207932511,0.09584685099134829
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08711679451854083,17,9741,2,15,22,9719,0.11764705882352941,0.08333333333333333,0.0022584950210450673,0.9352011207932511,0.09584685099134829
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.027100460433401544,17,9741,3,14,77,9664,0.17647058823529413,0.0375,0.007904732573657735,0.9352011207932511,0.09584685099134829
