experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.19256829631453756,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.11957747636011937,16,9782,7,9,49,9733,0.4375,0.125,0.005009200572480065,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07934217663984437,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.019179306491553492,16,9782,11,5,490,9292,0.6875,0.021956087824351298,0.05009200572480065,0.9706476180740135,0.17302816181105501
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.18997169714220222,17,9741,5,12,10,9731,0.29411764705882354,0.3333333333333333,0.001026588645929576,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.13191675255016821,17,9741,7,10,49,9692,0.4117647058823529,0.125,0.005030284365054922,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07977830545003936,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.02040364612286523,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9489483505135963,0.2416397102399908
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.22689951858237012,14,9724,2,12,10,9714,0.14285714285714285,0.16666666666666666,0.0010283833813245578,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14197096287776137,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.09777050672723855,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.02211037587437885,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9751498501498502,0.09701651773573797
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1963142310529857,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.08772338163107526,16,9782,10,6,49,9733,0.625,0.1694915254237288,0.005009200572480065,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06775290220975913,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004433647659607213,16,9782,13,3,490,9292,0.8125,0.02584493041749503,0.05009200572480065,0.9564058985892456,0.1709395666795762
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.14163199007511187,17,9741,2,15,10,9731,0.11764705882352941,0.16666666666666666,0.001026588645929576,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.09457437843084306,17,9741,10,7,49,9692,0.5882352941176471,0.1694915254237288,0.005030284365054922,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0687924385070801,17,9741,11,6,98,9643,0.6470588235294118,0.10091743119266056,0.010060568730109845,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004466176498681307,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9440992288507642,0.14313586913642906
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1681720200031998,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.10464370265603125,14,9724,4,10,49,9675,0.2857142857142857,0.07547169811320754,0.005039078568490334,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07314740471541924,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004552242415957161,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9791568725392255,0.06953466084665001
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.20021529618125308,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.08642984708776585,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.028336835679415737,16,9782,6,10,98,9684,0.375,0.057692307692307696,0.01001840114496013,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0042224673111996855,16,9782,12,4,490,9292,0.75,0.02390438247011952,0.05009200572480065,0.9539779697403394,0.20229361488182618
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.14000388502610975,17,9741,2,15,10,9731,0.11764705882352941,0.16666666666666666,0.001026588645929576,0.9352011207932511,0.09584685099134829
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.040018474668039414,17,9741,3,14,49,9692,0.17647058823529413,0.057692307692307696,0.005030284365054922,0.9352011207932511,0.09584685099134829
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.022052180383282622,17,9741,4,13,98,9643,0.23529411764705882,0.0392156862745098,0.010060568730109845,0.9352011207932511,0.09584685099134829
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0040658122930375875,17,9741,12,5,488,9253,0.7058823529411765,0.024,0.05009752592136331,0.9352011207932511,0.09584685099134829
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.17161205987885167,14,9724,2,12,10,9714,0.14285714285714285,0.16666666666666666,0.0010283833813245578,0.9634483163894928,0.041937841723887176
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.05198411954672895,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9634483163894928,0.041937841723887176
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.024537404914767243,14,9724,2,12,98,9626,0.14285714285714285,0.02,0.010078157136980667,0.9634483163894928,0.041937841723887176
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004236108091257423,14,9724,10,4,487,9237,0.7142857142857143,0.02012072434607646,0.05008227067050596,0.9634483163894928,0.041937841723887176
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1680660029947631,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.975739879370272,0.3700319651992323
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.05502104055136384,16,9782,7,9,49,9733,0.4375,0.125,0.005009200572480065,0.975739879370272,0.3700319651992323
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.03110735772177582,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.975739879370272,0.3700319651992323
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004335521999746553,16,9782,14,2,490,9292,0.875,0.027777777777777776,0.05009200572480065,0.975739879370272,0.3700319651992323
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1519940379262017,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.930391251049234,0.13168291044804806
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.054404044523834114,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.930391251049234,0.13168291044804806
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.03051353916525844,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.930391251049234,0.13168291044804806
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004449921660125256,17,9741,13,4,488,9253,0.7647058823529411,0.02594810379241517,0.05009752592136331,0.930391251049234,0.13168291044804806
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1672012190222741,14,9724,3,11,10,9714,0.21428571428571427,0.23076923076923078,0.0010283833813245578,0.9745107833343127,0.15258392786073904
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.05966183010488749,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9745107833343127,0.15258392786073904
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.03473479174077513,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9745107833343127,0.15258392786073904
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004381474805995823,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9745107833343127,0.15258392786073904
