experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,val_quantile,0.001,1,47,29247,0.2553191489361702,0.0,0.13186813186813187,0.0,0.002701131740007522,0.0,0.9359788391183675,0.0,0.1006462068236851,0.0,12.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,val_quantile,0.005,1,47,29247,0.40425531914893614,0.0,0.09134615384615384,0.0,0.006462201251410401,0.0,0.9359788391183675,0.0,0.1006462068236851,0.0,19.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,val_quantile,0.01,1,47,29247,0.5106382978723404,0.0,0.06722689075630252,0.0,0.011385783157246898,0.0,0.9359788391183675,0.0,0.1006462068236851,0.0,24.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,val_quantile,0.05,1,47,29247,0.7446808510638298,0.0,0.02532561505065123,0.0,0.04605600574417889,0.0,0.9359788391183675,0.0,0.1006462068236851,0.0,35.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,val_quantile,0.001,1,47,29247,0.2553191489361702,0.0,0.17391304347826086,0.0,0.0019489178377269463,0.0,0.9410019536960786,0.0,0.13416295890334684,0.0,12.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,val_quantile,0.005,1,47,29247,0.44680851063829785,0.0,0.0875,0.0,0.007487947481793005,0.0,0.9410019536960786,0.0,0.13416295890334684,0.0,21.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,val_quantile,0.01,1,47,29247,0.5957446808510638,0.0,0.07088607594936709,0.0,0.012548295551680515,0.0,0.9410019536960786,0.0,0.13416295890334684,0.0,28.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,val_quantile,0.05,1,47,29247,0.7446808510638298,0.0,0.024238227146814405,0.0,0.048175881286969605,0.0,0.9410019536960786,0.0,0.13416295890334684,0.0,35.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,val_quantile,0.001,1,47,29247,0.3404255319148936,0.0,0.19047619047619047,0.0,0.0023250247888672343,0.0,0.9584388852735639,0.0,0.1473780574333374,0.0,16.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,val_quantile,0.005,1,47,29247,0.5106382978723404,0.0,0.11538461538461539,0.0,0.006291243546346634,0.0,0.9584388852735639,0.0,0.1473780574333374,0.0,24.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,val_quantile,0.01,1,47,29247,0.574468085106383,0.0,0.07012987012987013,0.0,0.012240571682565734,0.0,0.9584388852735639,0.0,0.1473780574333374,0.0,27.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,val_quantile,0.05,1,47,29247,0.851063829787234,0.0,0.027359781121751026,0.0,0.0486203713201354,0.0,0.9584388852735639,0.0,0.1473780574333374,0.0,40.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,val_quantile,0.001,1,47,29247,0.3191489361702128,0.0,0.18292682926829268,0.0,0.002290833247854481,0.0,0.968994921954864,0.0,0.11224708499081026,0.0,15.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,val_quantile,0.005,1,47,29247,0.40425531914893614,0.0,0.1043956043956044,0.0,0.005573221185078811,0.0,0.968994921954864,0.0,0.11224708499081026,0.0,19.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,val_quantile,0.01,1,47,29247,0.5957446808510638,0.0,0.07291666666666667,0.0,0.012172188600540226,0.0,0.968994921954864,0.0,0.11224708499081026,0.0,28.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,val_quantile,0.05,1,47,29247,0.851063829787234,0.0,0.027491408934707903,0.0,0.04838103053304613,0.0,0.968994921954864,0.0,0.11224708499081026,0.0,40.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn_deep,sequence,in_horizon,val_quantile,0.001,1,47,29247,0.2765957446808511,0.0,0.18055555555555555,0.0,0.002017300919752453,0.0,0.9622823362503015,0.0,0.13890543132733052,0.0,13.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn_deep,sequence,in_horizon,val_quantile,0.005,1,47,29247,0.40425531914893614,0.0,0.10326086956521739,0.0,0.005641604267104318,0.0,0.9622823362503015,0.0,0.13890543132733052,0.0,19.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn_deep,sequence,in_horizon,val_quantile,0.01,1,47,29247,0.574468085106383,0.0,0.07584269662921349,0.0,0.011249016993195884,0.0,0.9622823362503015,0.0,0.13890543132733052,0.0,27.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn_deep,sequence,in_horizon,val_quantile,0.05,1,47,29247,0.8723404255319149,0.0,0.027683997299122215,0.0,0.04923581905836496,0.0,0.9622823362503015,0.0,0.13890543132733052,0.0,41.0,0.0
