experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16767778944968978,16,9782,4,12,22,9760,0.25,0.15384615384615385,0.0022490288284604375,0.9481445512165202,0.108400699920636
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05645871795713762,16,9782,6,10,67,9715,0.375,0.0821917808219178,0.00684931506849315,0.9481445512165202,0.108400699920636
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.03064224269241162,16,9782,8,8,128,9654,0.5,0.058823529411764705,0.013085258638315273,0.9481445512165202,0.108400699920636
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0031357886036857893,16,9782,12,4,524,9258,0.75,0.022388059701492536,0.05356777755060315,0.9481445512165202,0.108400699920636
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16767778944968978,17,9741,3,14,16,9725,0.17647058823529413,0.15789473684210525,0.0016425418334873217,0.9509773727784924,0.1732033068273601
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05645871795713762,17,9741,9,8,64,9677,0.5294117647058824,0.1232876712328767,0.006570167333949287,0.9509773727784924,0.1732033068273601
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.03064224269241162,17,9741,10,7,122,9619,0.5882352941176471,0.07575757575757576,0.012524381480340827,0.9509773727784924,0.1732033068273601
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0031357886036857893,17,9741,14,3,460,9281,0.8235294117647058,0.029535864978902954,0.0472230777127605,0.9509773727784924,0.1732033068273601
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16767778944968978,14,9724,0,14,25,9699,0.0,0.0,0.0025709584533113944,0.9667391432097314,0.03613992845269938
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05645871795713762,14,9724,4,10,77,9647,0.2857142857142857,0.04938271604938271,0.007918552036199095,0.9667391432097314,0.03613992845269938
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.03064224269241162,14,9724,6,8,127,9597,0.42857142857142855,0.045112781954887216,0.013060468942821883,0.9667391432097314,0.03613992845269938
feat_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0031357886036857893,14,9724,10,4,443,9281,0.7142857142857143,0.02207505518763797,0.04555738379267791,0.9667391432097314,0.03613992845269938
