experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20246786931156505,16,9782,8,8,20,9762,0.5,0.2857142857142857,0.0020445716622367613,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.1359074892103657,16,9782,10,6,72,9710,0.625,0.12195121951219512,0.007360457984052341,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09572632506489803,16,9782,13,3,129,9653,0.8125,0.09154929577464789,0.01318748722142711,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007783746346831322,16,9782,15,1,541,9241,0.9375,0.02697841726618705,0.05530566346350439,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20246786931156505,17,9741,7,10,20,9721,0.4117647058823529,0.25925925925925924,0.002053177291859152,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.1359074892103657,17,9741,8,9,57,9684,0.47058823529411764,0.12307692307692308,0.005851555281798583,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09572632506489803,17,9741,8,9,93,9648,0.47058823529411764,0.07920792079207921,0.009547274407145057,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007783746346831322,17,9741,16,1,572,9169,0.9411764705882353,0.027210884353741496,0.05872087054717175,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20246786931156505,14,9724,3,11,37,9687,0.21428571428571427,0.075,0.003805018510900864,0.98035053182112,0.07272304737889104
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.1359074892103657,14,9724,6,8,84,9640,0.42857142857142855,0.06666666666666667,0.008638420403126285,0.98035053182112,0.07272304737889104
