experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.3388021006584154,16,9782,7,9,20,9762,0.4375,0.25925925925925924,0.0020445716622367613,0.9754906971989368,0.26031905434560765
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.14697217851877184,16,9782,12,4,89,9693,0.75,0.1188118811881188,0.009098343896953588,0.9754906971989368,0.26031905434560765
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09629007875919374,16,9782,14,2,159,9623,0.875,0.08092485549132948,0.016254344714782255,0.9754906971989368,0.26031905434560765
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008373418822884539,16,9782,15,1,600,9182,0.9375,0.024390243902439025,0.06133714986710284,0.9754906971989368,0.26031905434560765
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.3388021006584154,17,9741,7,10,19,9722,0.4117647058823529,0.2692307692307692,0.0019505184272661945,0.9697216737018183,0.18732482915239226
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.14697217851877184,17,9741,9,8,63,9678,0.5294117647058824,0.125,0.006467508469356329,0.9697216737018183,0.18732482915239226
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09629007875919374,17,9741,11,6,165,9576,0.6470588235294118,0.0625,0.016938712657838004,0.9697216737018183,0.18732482915239226
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008373418822884539,17,9741,15,2,591,9150,0.8823529411764706,0.024752475247524754,0.06067138897443794,0.9697216737018183,0.18732482915239226
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.3388021006584154,14,9724,4,10,33,9691,0.2857142857142857,0.10810810810810811,0.003393665158371041,0.9771037785743668,0.09968330765383354
feat_combo_asfd7_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.14697217851877184,14,9724,8,6,89,9635,0.5714285714285714,0.08247422680412371,0.009152612093788565,0.9771037785743668,0.09968330765383354
