experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.33989474177360535,16,9782,1,15,14,9768,0.0625,0.06666666666666667,0.0014312001635657329,0.95390768758945,0.11092900980426161
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.31618955731391907,16,9782,9,7,80,9702,0.5625,0.10112359550561797,0.008178286648947045,0.95390768758945,0.11092900980426161
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0451839222759015,16,9782,10,6,118,9664,0.625,0.078125,0.012062972807196893,0.95390768758945,0.11092900980426161
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0025962674990296364,16,9782,15,1,551,9231,0.9375,0.026501766784452298,0.05632794929462278,0.95390768758945,0.11092900980426161
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.33989474177360535,17,9741,4,13,12,9729,0.23529411764705882,0.25,0.0012319063751154912,0.938377506838892,0.1301476783773512
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.31618955731391907,17,9741,6,11,61,9680,0.35294117647058826,0.08955223880597014,0.006262190740170414,0.938377506838892,0.1301476783773512
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0451839222759015,17,9741,7,10,112,9629,0.4117647058823529,0.058823529411764705,0.011497792834411252,0.938377506838892,0.1301476783773512
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0025962674990296364,17,9741,12,5,535,9206,0.7058823529411765,0.021937842778793418,0.05492249255723232,0.938377506838892,0.1301476783773512
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.33989474177360535,14,9724,0,14,24,9700,0.0,0.0,0.0024681201151789387,0.96969941822883,0.04501405264941088
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.31618955731391907,14,9724,6,8,99,9625,0.42857142857142855,0.05714285714285714,0.010180995475113122,0.96969941822883,0.04501405264941088
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0451839222759015,14,9724,8,6,131,9593,0.5714285714285714,0.05755395683453238,0.013471822295351706,0.96969941822883,0.04501405264941088
feat_combo_roll30_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0025962674990296364,14,9724,12,2,481,9243,0.8571428571428571,0.02434077079107505,0.04946524064171123,0.96969941822883,0.04501405264941088
