experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5569822653531956,16,9782,5,11,15,9767,0.3125,0.25,0.001533428746677571,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4404053041338908,16,9782,9,7,79,9703,0.5625,0.10227272727272728,0.008076058065835208,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.38866949677467466,16,9782,12,4,152,9630,0.75,0.07317073170731707,0.015538744632999387,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.005987489409744722,16,9782,15,1,562,9220,0.9375,0.025996533795493933,0.05745246370885299,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5569822653531956,17,9741,5,12,18,9723,0.29411764705882354,0.21739130434782608,0.0018478595626732369,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4404053041338908,17,9741,6,11,47,9694,0.35294117647058826,0.11320754716981132,0.004824966635869008,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.38866949677467466,17,9741,8,9,164,9577,0.47058823529411764,0.046511627906976744,0.016836053793245046,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.005987489409744722,17,9741,16,1,543,9198,0.9411764705882353,0.028622540250447227,0.05574376347397598,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5569822653531956,14,9724,0,14,28,9696,0.0,0.0,0.002879473467708762,0.9719141152964682,0.06964628741202894
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4404053041338908,14,9724,8,6,77,9647,0.5714285714285714,0.09411764705882353,0.007918552036199095,0.9719141152964682,0.06964628741202894
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.38866949677467466,14,9724,9,5,121,9603,0.6428571428571429,0.06923076923076923,0.012443438914027148,0.9719141152964682,0.06964628741202894
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.005987489409744722,14,9724,11,3,537,9187,0.7857142857142857,0.020072992700729927,0.055224187577128755,0.9719141152964682,0.06964628741202894
