experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.27041711848973526,16,9782,0,16,10,9772,0.0,0.0,0.0010222858311183807,0.9694687947250051,0.11262904095099091
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.13541178047656896,16,9782,7,9,49,9733,0.4375,0.125,0.005009200572480065,0.9694687947250051,0.11262904095099091
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06986895628273505,16,9782,13,3,98,9684,0.8125,0.11711711711711711,0.01001840114496013,0.9694687947250051,0.11262904095099091
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006797361327335205,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9694687947250051,0.11262904095099091
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.28353958427906356,17,9741,6,11,10,9731,0.35294117647058826,0.375,0.001026588645929576,0.9630548862600168,0.17555154942874981
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.10952135324477821,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9630548862600168,0.17555154942874981
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07137484848499298,17,9741,9,8,99,9642,0.5294117647058824,0.08333333333333333,0.010163227594702803,0.9630548862600168,0.17555154942874981
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007300776895135641,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9630548862600168,0.17555154942874981
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3735514522194865,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9700299700299702,0.04048205616681815
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.2024361097067597,14,9724,1,13,49,9675,0.07142857142857142,0.02,0.005039078568490334,0.9700299700299702,0.04048205616681815
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07835636161267794,14,9724,6,8,98,9626,0.42857142857142855,0.057692307692307696,0.010078157136980667,0.9700299700299702,0.04048205616681815
feat_asfd30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.00592948119156063,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9700299700299702,0.04048205616681815
