experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.18644845485687256,16,9782,6,10,19,9763,0.375,0.24,0.0019423430791249234,0.9551152627274586,0.20844932800945154
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.17834411561489105,16,9782,9,7,68,9714,0.5625,0.11688311688311688,0.006951543651604989,0.9551152627274586,0.20844932800945154
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.17717814445495605,16,9782,11,5,118,9664,0.6875,0.08527131782945736,0.012062972807196893,0.9551152627274586,0.20844932800945154
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0027979849837720394,16,9782,15,1,517,9265,0.9375,0.02819548872180451,0.05285217746882028,0.9551152627274586,0.20844932800945154
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.18644845485687256,17,9741,4,13,12,9729,0.23529411764705882,0.25,0.0012319063751154912,0.936182418763625,0.099842684524597
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.17834411561489105,17,9741,6,11,50,9691,0.35294117647058826,0.10714285714285714,0.00513294322964788,0.936182418763625,0.099842684524597
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.17578016221523285,17,9741,8,9,128,9613,0.47058823529411764,0.058823529411764705,0.013140334667898573,0.936182418763625,0.099842684524597
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.002961002290248871,17,9741,11,6,507,9234,0.6470588235294118,0.021235521235521235,0.0520480443486295,0.936182418763625,0.099842684524597
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.194973886013031,14,9724,0,14,15,9709,0.0,0.0,0.0015425750719868367,0.9654059176118,0.03805617718439444
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.18607300519943237,14,9724,1,13,51,9673,0.07142857142857142,0.019230769230769232,0.005244755244755245,0.9654059176118,0.03805617718439444
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.17717814445495605,14,9724,6,8,102,9622,0.42857142857142855,0.05555555555555555,0.01048951048951049,0.9654059176118,0.03805617718439444
feat_cid7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.002961002290248871,14,9724,11,3,501,9223,0.7857142857142857,0.021484375,0.051522007404360345,0.9654059176118,0.03805617718439444
