experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.5083981263041457,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9646864138213045,0.21032343583815183
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.36107703194022145,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9646864138213045,0.21032343583815183
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.33068288087844944,16,9782,13,3,98,9684,0.8125,0.11711711711711711,0.01001840114496013,0.9646864138213045,0.21032343583815183
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.011537130968645073,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9646864138213045,0.21032343583815183
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4769359672069566,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9637402851500934,0.12945675770643125
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.361031174659729,17,9741,7,10,52,9689,0.4117647058823529,0.11864406779661017,0.005338260958833795,0.9637402851500934,0.12945675770643125
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.3199991881847383,17,9741,7,10,98,9643,0.4117647058823529,0.06666666666666667,0.010060568730109845,0.9637402851500934,0.12945675770643125
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.01102827861905098,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9637402851500934,0.12945675770643125
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.5373183847069742,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9740223012281837,0.06518323461886726
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.3680698657035832,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9740223012281837,0.06518323461886726
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.3282286375761034,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9740223012281837,0.06518323461886726
feat_combo_asfd14_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006096977251581864,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9740223012281837,0.06518323461886726
