experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.37467545452712897,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.15795964740216495,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08917877584695913,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.010095803532749395,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4074973601102918,17,9741,3,14,10,9731,0.17647058823529413,0.23076923076923078,0.001026588645929576,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1134755656123151,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07186942845582965,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008633401244878769,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4485383870005628,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9739157900922607,0.06038836572451186
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.158384193852544,14,9724,4,10,49,9675,0.2857142857142857,0.07547169811320754,0.005039078568490334,0.9739157900922607,0.06038836572451186
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08114579848945153,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9739157900922607,0.06038836572451186
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006478187907487156,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9739157900922607,0.06038836572451186
