experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4253528643548139,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.15097897179424463,16,9782,5,11,49,9733,0.3125,0.09259259259259259,0.005009200572480065,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08147887654602602,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008394499355927107,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.40388578295710004,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.10721669495105687,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.056228626519441764,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.005969480145722628,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.51563959658146,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9735338191220544,0.054750226349067566
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.16891801051795535,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9735338191220544,0.054750226349067566
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06663284607231623,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.9735338191220544,0.054750226349067566
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004718093713745483,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9735338191220544,0.054750226349067566
