experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2980014955699373,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183807,0.9450681097934982,0.22254119323392724
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.2710384130477905,16,9782,9,7,54,9728,0.5625,0.14285714285714285,0.005520343488039256,0.9450681097934982,0.22254119323392724
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.26096054911613464,16,9782,10,6,106,9676,0.625,0.08620689655172414,0.010836229809854835,0.9450681097934982,0.22254119323392724
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0038653351133688535,16,9782,14,2,490,9292,0.875,0.027777777777777776,0.05009200572480065,0.9450681097934982,0.22254119323392724
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3156047761440277,17,9741,4,13,11,9730,0.23529411764705882,0.26666666666666666,0.0011292475105225336,0.9366594805461451,0.12521627180104022
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.2693013846874237,17,9741,6,11,61,9680,0.35294117647058826,0.08955223880597014,0.006262190740170414,0.9366594805461451,0.12521627180104022
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.26096054911613464,17,9741,6,11,102,9639,0.35294117647058826,0.05555555555555555,0.010471204188481676,0.9366594805461451,0.12521627180104022
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.003981110639870167,17,9741,12,5,488,9253,0.7058823529411765,0.024,0.05009752592136331,0.9366594805461451,0.12521627180104022
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.484463632106781,14,9724,0,14,12,9712,0.0,0.0,0.0012340600575894694,0.9749735558559088,0.05329337144721436
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.2762921452522278,14,9724,5,9,50,9674,0.35714285714285715,0.09090909090909091,0.005141916906622789,0.9749735558559088,0.05329337144721436
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.26096054911613464,14,9724,8,6,121,9603,0.5714285714285714,0.06201550387596899,0.012443438914027148,0.9749735558559088,0.05329337144721436
feat_combo_roll30_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0032382786739617586,14,9724,11,3,488,9236,0.7857142857142857,0.022044088176352707,0.05018510900863842,0.9749735558559088,0.05329337144721436
