experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3705140195190658,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.19415532931685384,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.11381128154695062,16,9782,12,4,98,9684,0.75,0.10909090909090909,0.01001840114496013,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.009628327609971161,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.42553040325641706,17,9741,1,16,10,9731,0.058823529411764705,0.09090909090909091,0.001026588645929576,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.15784426480531663,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.09622682332992563,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.010564002208411694,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.423036401718855,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.975362872421696,0.0650838698509964
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.21243058003485207,14,9724,4,10,49,9675,0.2857142857142857,0.07547169811320754,0.005039078568490334,0.975362872421696,0.0650838698509964
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.12044935785234023,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.975362872421696,0.0650838698509964
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.009145866846665754,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.975362872421696,0.0650838698509964
