experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2427810571193644,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9544763340830096,0.21225234849857288
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.09681569378822916,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9544763340830096,0.21225234849857288
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06094986774027378,16,9782,9,7,98,9684,0.5625,0.08411214953271028,0.01001840114496013,0.9544763340830096,0.21225234849857288
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.010383323533460491,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9544763340830096,0.21225234849857288
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2092778530716897,17,9741,5,12,10,9731,0.29411764705882354,0.3333333333333333,0.001026588645929576,0.9662040979003244,0.22807706191374222
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.08850935548543896,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9662040979003244,0.22807706191374222
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.049469238519668654,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9662040979003244,0.22807706191374222
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.009396455250680447,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9662040979003244,0.22807706191374222
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.33014481899142356,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9786096256684492,0.07201471524187235
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.114600471928716,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.9786096256684492,0.07201471524187235
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06779606290161619,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.9786096256684492,0.07201471524187235
feat_roll7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.009464617026969794,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9786096256684492,0.07201471524187235
