experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.43264568877219595,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1800199186801852,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.09900414906442187,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.012149492045864461,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.47455422401428576,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.12093413397669765,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.072378757596016,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.010341417975723743,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.5415962161421785,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9771992713169184,0.07405104338755188
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.21101653493940833,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9771992713169184,0.07405104338755188
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.09913843385875232,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.9771992713169184,0.07405104338755188
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008393889619037526,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9771992713169184,0.07405104338755188
