experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.11863375905155989,16,9782,8,8,27,9755,0.5,0.22857142857142856,0.002760171744019628,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07005843184888352,16,9782,9,7,77,9705,0.5625,0.10465116279069768,0.00787160089961153,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.049518716037273564,16,9782,9,7,119,9663,0.5625,0.0703125,0.01216520139030873,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.00641801543533799,16,9782,15,1,505,9277,0.9375,0.028846153846153848,0.05162543447147822,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.11863375905155989,17,9741,5,12,27,9714,0.29411764705882354,0.15625,0.002771789344009855,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07005843184888352,17,9741,7,10,55,9686,0.4117647058823529,0.11290322580645161,0.005646237552612668,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.049518716037273564,17,9741,9,8,95,9646,0.5294117647058824,0.08653846153846154,0.009752592136330972,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.00641801543533799,17,9741,15,2,435,9306,0.8823529411764706,0.03333333333333333,0.044656606097936556,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.11863375905155989,14,9724,3,11,30,9694,0.21428571428571427,0.09090909090909091,0.0030851501439736733,0.9695818886995357,0.08208787737336763
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07005843184888352,14,9724,4,10,79,9645,0.2857142857142857,0.04819277108433735,0.008124228712464007,0.9695818886995357,0.08208787737336763
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.049518716037273564,14,9724,6,8,128,9596,0.42857142857142855,0.04477611940298507,0.01316330728095434,0.9695818886995357,0.08208787737336763
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.00641801543533799,14,9724,11,3,460,9264,0.7857142857142857,0.02335456475583864,0.04730563554092966,0.9695818886995357,0.08208787737336763
