experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32308159238099954,16,9782,7,9,17,9765,0.4375,0.2916666666666667,0.0017378859129012472,0.9804328102637496,0.21505715045822965
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.1580178195238102,16,9782,12,4,87,9695,0.75,0.12121212121212122,0.008893886730729912,0.9804328102637496,0.21505715045822965
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09942672029137634,16,9782,12,4,143,9639,0.75,0.07741935483870968,0.014618687384992843,0.9804328102637496,0.21505715045822965
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007069638231769172,16,9782,15,1,544,9238,0.9375,0.026833631484794274,0.05561234921283991,0.9804328102637496,0.21505715045822965
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32308159238099954,17,9741,4,13,14,9727,0.23529411764705882,0.2222222222222222,0.0014372241043014065,0.9712313628870087,0.1443874110521702
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.1580178195238102,17,9741,7,10,61,9680,0.4117647058823529,0.10294117647058823,0.006262190740170414,0.9712313628870087,0.1443874110521702
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09942672029137634,17,9741,10,7,158,9583,0.5882352941176471,0.05952380952380952,0.0162201006056873,0.9712313628870087,0.1443874110521702
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007069638231769172,17,9741,14,3,531,9210,0.8235294117647058,0.025688073394495414,0.054511857098860486,0.9712313628870087,0.1443874110521702
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32308159238099954,14,9724,1,13,26,9698,0.07142857142857142,0.037037037037037035,0.00267379679144385,0.9714550155726627,0.048842042518991914
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.1580178195238102,14,9724,5,9,91,9633,0.35714285714285715,0.052083333333333336,0.009358288770053475,0.9714550155726627,0.048842042518991914
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.09942672029137634,14,9724,9,5,144,9580,0.6428571428571429,0.058823529411764705,0.014808720691073632,0.9714550155726627,0.048842042518991914
feat_scope_all_champion,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007069638231769172,14,9724,11,3,512,9212,0.7857142857142857,0.021032504780114723,0.05265322912381736,0.9714550155726627,0.048842042518991914
