experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.34568718117475183,16,9782,6,10,14,9768,0.375,0.3,0.0014312001635657329,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.11962443351745557,16,9782,10,6,79,9703,0.625,0.11235955056179775,0.008076058065835208,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.07717254772782327,16,9782,12,4,133,9649,0.75,0.08275862068965517,0.013596401553874463,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.009663226269185528,16,9782,15,1,548,9234,0.9375,0.02664298401420959,0.05602126354528726,0.9463906920875077,0.16922718626489403
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.34568718117475183,17,9741,4,13,24,9717,0.23529411764705882,0.14285714285714285,0.0024638127502309825,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.11962443351745557,17,9741,9,8,51,9690,0.5294117647058824,0.15,0.005235602094240838,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.07717254772782327,17,9741,9,8,93,9648,0.5294117647058824,0.08823529411764706,0.009547274407145057,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.009663226269185528,17,9741,15,2,504,9237,0.8823529411764706,0.028901734104046242,0.051740067754850634,0.9593953996751149,0.1403738442063989
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.34568718117475183,14,9724,1,13,27,9697,0.07142857142857142,0.03571428571428571,0.0027766351295763062,0.9771992713169184,0.07405104338755188
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.11962443351745557,14,9724,7,7,88,9636,0.5,0.07368421052631578,0.00904977375565611,0.9771992713169184,0.07405104338755188
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.07717254772782327,14,9724,10,4,127,9597,0.7142857142857143,0.072992700729927,0.013060468942821883,0.9771992713169184,0.07405104338755188
feat_triple_asfd7_diff_roll30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.009663226269185528,14,9724,11,3,452,9272,0.7857142857142857,0.023758099352051837,0.04648292883587001,0.9771992713169184,0.07405104338755188
