days_before,mean_abs_ig,q25,q75
13,0.12353976,0.06826513,0.1696418
12,0.04277279,0.021975975,0.057511777
11,0.05454404,0.03129486,0.06362074
10,0.047994982,0.028997242,0.051472154
9,0.025567936,0.014369327,0.027333744
8,0.009580462,0.004460654,0.009929324
7,0.0028025825,0.0006324192,0.0020030907
6,0.0012004827,0.00010390275,0.00044107685
5,0.0011398591,9.275935e-05,0.00045674853
4,0.0012647696,9.649347e-05,0.00046798613
3,0.0019118428,0.000106077845,0.0006344213
2,0.0034137652,0.00018079001,0.0008569836
1,0.008746958,0.0018283817,0.0063855355
0,0.24955675,0.16737583,0.29737973
