experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.23378828502778992,32,37345,14,18,42,37303,0.4375,0.25,0.0011246485473289597,0.8974343955014059,0.1477313071367547
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.0667435445267896,32,37345,19,13,191,37154,0.59375,0.09047619047619047,0.005114473155710269,0.8974343955014059,0.1477313071367547
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.030437943494946728,32,37345,22,10,415,36930,0.6875,0.05034324942791762,0.01111259874146472,0.8974343955014059,0.1477313071367547
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.005137700321645047,32,37345,25,7,1982,35363,0.78125,0.01245640259093174,0.05307270049538091,0.8974343955014059,0.1477313071367547
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.23378828502778992,29,37316,8,21,45,37271,0.27586206896551724,0.1509433962264151,0.001205917032908136,0.8941320354400996,0.1948590560334496
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.0667435445267896,29,37316,17,12,215,37101,0.5862068965517241,0.07327586206896551,0.005761603601672205,0.8941320354400996,0.1948590560334496
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.030437943494946728,29,37316,22,7,428,36888,0.7586206896551724,0.04888888888888889,0.011469610890770716,0.8941320354400996,0.1948590560334496
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.005137700321645047,29,37316,22,7,1552,35764,0.7586206896551724,0.01397712833545108,0.041590738557187264,0.8941320354400996,0.1948590560334496
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.23378828502778992,27,37286,12,15,64,37222,0.4444444444444444,0.15789473684210525,0.0017164619428203616,0.8806512622153883,0.15938202194695378
tos_select_stride2,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.0667435445267896,27,37286,19,8,240,37046,0.7037037037037037,0.07335907335907337,0.006436732285576356,0.8806512622153883,0.15938202194695378
