experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.056157513074575886,29,37316,7,22,38,37278,0.2413793103448276,0.15555555555555556,0.0010183299389002036,0.9263004498393959,0.15333758407328005
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.012993435212410998,29,37316,17,12,187,37129,0.5862068965517241,0.08333333333333333,0.005011255225640476,0.9263004498393959,0.15333758407328005
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0062161104986444,29,37316,24,5,374,36942,0.8275862068965517,0.06030150753768844,0.010022510451280952,0.9263004498393959,0.15333758407328005
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00017916215438162908,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.9263004498393959,0.15333758407328005
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.07842776533216107,27,37286,10,17,38,37248,0.37037037037037035,0.20833333333333334,0.0010191492785495897,0.8524885718202244,0.1482573227743561
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.015494222287088109,27,37286,17,10,187,37099,0.6296296296296297,0.08333333333333333,0.005015287239178244,0.8524885718202244,0.1482573227743561
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007329226937145003,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8524885718202244,0.1482573227743561
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00019903024804079905,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8524885718202244,0.1482573227743561
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.09389368104934306,18,37265,6,12,38,37227,0.3333333333333333,0.13636363636363635,0.0010197236012344023,0.9225248594898401,0.11310459693674246
toslb_14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.023091322034597427,18,37265,10,8,187,37078,0.5555555555555556,0.050761421319796954,0.005018113511337716,0.9225248594898401,0.11310459693674246
