experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10588843505084565,29,37316,9,20,43,37273,0.3103448275862069,0.17307692307692307,0.001152320720334441,0.8806460943073322,0.17624866904336975
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.016719038160517726,29,37316,16,13,192,37124,0.5517241379310345,0.07692307692307693,0.005145246007074713,0.8806460943073322,0.17624866904336975
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.005868020611815183,29,37316,20,9,414,36902,0.6896551724137931,0.04608294930875576,0.01109443670275485,0.8806460943073322,0.17624866904336975
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00015975372880347859,29,37316,23,6,1729,35587,0.7931034482758621,0.013127853881278538,0.04633401221995927,0.8806460943073322,0.17624866904336975
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10588843505084565,27,37286,8,19,55,37231,0.2962962962962963,0.12698412698412698,0.0014750844821112483,0.8319903607947379,0.15325586679823877
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.016719038160517726,27,37286,15,12,220,37066,0.5555555555555556,0.06382978723404255,0.005900337928444993,0.8319903607947379,0.15325586679823877
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.005868020611815183,27,37286,20,7,452,36834,0.7407407407407407,0.0423728813559322,0.012122512471168804,0.8319903607947379,0.15325586679823877
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00015975372880347859,27,37286,21,6,2014,35272,0.7777777777777778,0.010319410319410319,0.054014911763128254,0.8319903607947379,0.15325586679823877
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10588843505084565,18,37265,5,13,57,37208,0.2777777777777778,0.08064516129032258,0.0015295854018516034,0.9321183117909269,0.07901330995295011
toslb_7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.016719038160517726,18,37265,13,5,243,37022,0.7222222222222222,0.05078125,0.006520864081577888,0.9321183117909269,0.07901330995295011
