experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5045350098609734,38,9878,12,26,6,9872,0.3157894736842105,0.6666666666666666,0.0006074104069649726,0.9638883856736394,0.42656174504999067
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.17149404287338033,38,9878,22,16,33,9845,0.5789473684210527,0.4,0.0033407572383073497,0.9638883856736394,0.42656174504999067
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08692414313554772,38,9878,24,14,55,9823,0.631578947368421,0.3037974683544304,0.005567928730512249,0.9638883856736394,0.42656174504999067
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012581404671072943,38,9878,32,6,350,9528,0.8421052631578947,0.08376963350785341,0.035432273739623404,0.9638883856736394,0.42656174504999067
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5045350098609734,29,9842,3,26,8,9834,0.10344827586206896,0.2727272727272727,0.000812842918106076,0.9563692549173494,0.19088963740672113
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.17149404287338033,29,9842,13,16,31,9811,0.4482758620689655,0.29545454545454547,0.0031497663076610447,0.9563692549173494,0.19088963740672113
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08692414313554772,29,9842,13,16,83,9759,0.4482758620689655,0.13541666666666666,0.008433245275350538,0.9563692549173494,0.19088963740672113
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012581404671072943,29,9842,21,8,401,9441,0.7241379310344828,0.04976303317535545,0.04074375127006706,0.9563692549173494,0.19088963740672113
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5045350098609734,23,9807,5,18,10,9797,0.21739130434782608,0.3333333333333333,0.0010196798205363517,0.8902248172334757,0.24766627814986786
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.17149404287338033,23,9807,10,13,39,9768,0.43478260869565216,0.20408163265306123,0.0039767513000917715,0.8902248172334757,0.24766627814986786
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08692414313554772,23,9807,13,10,76,9731,0.5652173913043478,0.14606741573033707,0.007749566636076272,0.8902248172334757,0.24766627814986786
win12_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2024-07-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012581404671072943,23,9807,15,8,399,9408,0.6521739130434783,0.036231884057971016,0.04068522483940043,0.8902248172334757,0.24766627814986786
