experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5375653324127145,38,9878,10,28,3,9875,0.2631578947368421,0.7692307692307693,0.0003037052034824863,0.9634088511418248,0.4682227652894914
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.18577557325362515,38,9878,19,19,28,9850,0.5,0.40425531914893614,0.0028345818991698723,0.9634088511418248,0.4682227652894914
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08619861185550694,38,9878,25,13,56,9822,0.6578947368421053,0.30864197530864196,0.005669163798339745,0.9634088511418248,0.4682227652894914
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012947197631001467,38,9878,34,4,375,9503,0.8947368421052632,0.08312958435207823,0.03796315043531079,0.9634088511418248,0.4682227652894914
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5375653324127145,29,9842,4,25,6,9836,0.13793103448275862,0.4,0.000609632188579557,0.9619365281797223,0.23080475479449253
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.18577557325362515,29,9842,12,17,34,9808,0.41379310344827586,0.2608695652173913,0.003454582401950823,0.9619365281797223,0.23080475479449253
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08619861185550694,29,9842,16,13,78,9764,0.5517241379310345,0.1702127659574468,0.007925218451534242,0.9619365281797223,0.23080475479449253
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012947197631001467,29,9842,21,8,424,9418,0.7241379310344828,0.04719101123595506,0.04308067465962203,0.9619365281797223,0.23080475479449253
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5375653324127145,23,9807,5,18,7,9800,0.21739130434782608,0.4166666666666667,0.0007137758743754461,0.9287687144497498,0.27344091788933955
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2018-08-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.18577557325362515,23,9807,7,16,35,9772,0.30434782608695654,0.16666666666666666,0.0035688793718772305,0.9287687144497498,0.27344091788933955
