days_before,mean_abs_ig,q25,q75
13,0.06637154,0.0077830674,0.08893122
12,0.03022312,0.0058781807,0.03467471
11,0.02561606,0.0066251215,0.03144811
10,0.024868602,0.0076282173,0.028550971
9,0.025058415,0.008226875,0.026854303
8,0.027115468,0.009674467,0.028791834
7,0.032044537,0.010780877,0.034216307
6,0.036613904,0.011348505,0.03913574
5,0.039290134,0.01271254,0.04176247
4,0.042730562,0.013958057,0.046017032
3,0.04840025,0.016987605,0.052566957
2,0.05994645,0.021709617,0.064055614
1,0.07732616,0.02637492,0.08400896
0,0.10502092,0.026072912,0.13270625
