experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.04230271524190901,29,37316,8,21,43,37273,0.27586206896551724,0.1568627450980392,0.001152320720334441,0.8849499706144354,0.12356518121254734
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.0125944847613573,29,37316,16,13,217,37099,0.5517241379310345,0.06866952789699571,0.0058151999142458995,0.8849499706144354,0.12356518121254734
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.004930265229195354,29,37316,22,7,406,36910,0.7586206896551724,0.0514018691588785,0.010880051452460071,0.8849499706144354,0.12356518121254734
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.0005718490923754869,29,37316,23,6,1335,35981,0.7931034482758621,0.016936671575846832,0.03577553864294136,0.8849499706144354,0.12356518121254734
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.04230271524190901,27,37286,10,17,57,37229,0.37037037037037035,0.14925373134328357,0.0015287239178243845,0.819304634248581,0.18518903915397938
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.0125944847613573,27,37286,19,8,248,37038,0.7037037037037037,0.07116104868913857,0.0066512900284289005,0.819304634248581,0.18518903915397938
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.004930265229195354,27,37286,20,7,442,36844,0.7407407407407407,0.04329004329004329,0.011854315292603121,0.819304634248581,0.18518903915397938
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.0005718490923754869,27,37286,21,6,1716,35570,0.7777777777777778,0.012089810017271158,0.04602263584187094,0.819304634248581,0.18518903915397938
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-12,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.04230271524190901,18,37265,8,10,64,37201,0.4444444444444444,0.1111111111111111,0.0017174292231316249,0.8991233955006933,0.1257630587018947
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,42,2025-12,2024-10-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.0125944847613573,18,37265,13,5,270,36995,0.7222222222222222,0.045936395759717315,0.007245404535086542,0.8991233955006933,0.1257630587018947
