experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.001,42,6,162,223444,0.4096804111171927,0.09776991568992079,0.13685175603738975,0.024889326753981113,0.0018938307543739357,0.0005851508890773472,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,11.166666666666666,4.4907311951024935
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.005,42,6,162,223444,0.6378322082345071,0.08379163904828031,0.05677719787367775,0.012936644562464693,0.007766750062452096,0.0014981843785853565,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,17.166666666666668,4.355073669487885
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.01,42,6,162,223444,0.7408806178921121,0.038736178110374025,0.038707990430043256,0.009737371600178742,0.013553938586467196,0.0019307176816126491,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,20.0,4.381780460041329
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.05,42,6,162,223444,0.7981641123882504,0.01870446292989429,0.012963236828319423,0.0033268468633205024,0.04475922430903213,0.006235451435446705,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,21.5,4.370354676682432
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.3653005838350666,0.10156312395154064,0.13851998113323333,0.025508222957664514,0.001638558014834387,0.00047121563460436025,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,10.0,4.516635916254486
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6362905187617831,0.05694651893979119,0.06103299787123104,0.014028980995562396,0.007193582477349587,0.001261609576864422,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,17.166666666666668,3.970726214015097
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.7755754728455878,0.04725937735184193,0.04065713216865503,0.010309595025820783,0.013464394362119131,0.0018657226757663773,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,21.0,4.898979485566356
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.8399356869184456,0.04442019972526207,0.010309897401902465,0.002251509558759231,0.058588631807851003,0.004500094689971579,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,22.666666666666668,5.00666222813829
tos936_nn,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.3285045308033814,0.0988874055127662,0.12636065782819528,0.04120837782231188,0.0016968408638639257,0.0005209077678311113,0.9087607640031348,0.01380554196718377,0.14438715931865947,0.06373343229016964,9.0,4.1952353926806065
tos936_nn,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6314472723955482,0.07342679026841226,0.059717153212011896,0.016369941977212994,0.007386308284955688,0.0014887351955966302,0.9087607640031348,0.01380554196718377,0.14438715931865947,0.06373343229016964,17.0,4.09878030638384
