experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.001,0.2198938366025513,29,37316,7,22,38,37278,0.2413793103448276,0.15555555555555556,0.0010183299389002036,0.9381923627102731,0.13156553122588388
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.005,0.03733362713828757,29,37316,17,12,187,37129,0.5862068965517241,0.08333333333333333,0.005011255225640476,0.9381923627102731,0.13156553122588388
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.01,0.008502231584861792,29,37316,23,6,374,36942,0.7931034482758621,0.05793450881612091,0.010022510451280952,0.9381923627102731,0.13156553122588388
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-10,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.05,0.00045400907401926816,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.9381923627102731,0.13156553122588388
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.001,0.3071820506453402,27,37286,9,18,38,37248,0.3333333333333333,0.19148936170212766,0.0010191492785495897,0.8510701067424771,0.17193143818138976
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.005,0.04303755154833186,27,37286,16,11,187,37099,0.5925925925925926,0.07881773399014778,0.005015287239178244,0.8510701067424771,0.17193143818138976
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.01,0.011481871409341825,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8510701067424771,0.17193143818138976
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-11,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.05,0.0006084160413593054,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8510701067424771,0.17193143818138976
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-12,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.001,0.3601852676868371,18,37265,3,15,38,37227,0.16666666666666666,0.07317073170731707,0.0010197236012344023,0.8766089717787021,0.09909138521153503
tos936_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned_936,sequence,42,2025-12,2024-10-01,2025-06-30,in_horizon,10,month_quantile,0.005,0.057073183953762326,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.8766089717787021,0.09909138521153503
