experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos936_trees,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.3464665815240528,0.04837174937150935,0.19540585112971792,0.04035964528342963,0.001020391968749649,1.5930254547893772e-06,0.8993405898668007,0.02708645562768314,0.19348823542390994,0.060250766958355156,9.333333333333334,2.503331114069145
tos936_trees,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.6226137262056802,0.07127572383834739,0.08238298867024181,0.01952911715448374,0.005012436826396079,8.596209911323712e-06,0.8993405898668007,0.02708645562768314,0.19348823542390994,0.060250766958355156,16.833333333333332,4.355073669487885
tos936_trees,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.6606086176488475,0.06762858994828597,0.04553152593718065,0.01040251222411035,0.01001591970798559,1.773351709498298e-05,0.8993405898668007,0.02708645562768314,0.19348823542390994,0.060250766958355156,17.833333333333332,4.262237284181474
tos936_trees,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.7969143404488233,0.04686899760940999,0.011322283246018887,0.001962753581482501,0.05001253268975727,8.896797669911993e-06,0.8993405898668007,0.02708645562768314,0.19348823542390994,0.060250766958355156,21.333333333333332,3.723797345005051
tos936_trees,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.33236559630237794,0.06661738389781265,0.1891487690793509,0.047965722504949494,0.001020391968749649,1.5930254547893772e-06,0.9053624480920781,0.027854473714246403,0.1781100607184688,0.03900906024009427,9.0,2.756809750418044
tos936_trees,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.6030590524843399,0.08228416300180183,0.07946182141666325,0.016543546863340915,0.005012436826396079,8.596209911323712e-06,0.9053624480920781,0.027854473714246403,0.1781100607184688,0.03900906024009427,16.166666666666668,3.65604522218567
tos936_trees,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.6756150033448884,0.0773115590141319,0.046374700299435107,0.009935222069841584,0.01001145334860445,8.732894456429791e-06,0.9053624480920781,0.027854473714246403,0.1781100607184688,0.03900906024009427,18.166666666666668,4.070217029430577
tos936_trees,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.8039112388250319,0.021868503459513768,0.011495709370447867,0.0023457327935861695,0.05001253268975727,8.896797669911993e-06,0.9053624480920781,0.027854473714246403,0.1781100607184688,0.03900906024009427,21.666666666666668,4.457203906785808
tos936_trees,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.31358252751930915,0.055999244937147856,0.1808814217363733,0.04399256910929218,0.001020391968749649,1.5930254547893772e-06,0.8884827323561315,0.043404320385564354,0.1420735545339236,0.02722953818967746,8.5,2.4289915602982237
tos936_trees,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.5633103752356626,0.0686096232995434,0.07491194716021476,0.016074112967550274,0.005012436826396079,8.596209911323712e-06,0.8884827323561315,0.043404320385564354,0.1420735545339236,0.02722953818967746,15.166666666666666,3.488074922742725
tos936_trees,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.6355713677552758,0.07621449886138709,0.04391773704645506,0.010658444830351565,0.01001145334860445,8.732894456429791e-06,0.8884827323561315,0.043404320385564354,0.1420735545339236,0.02722953818967746,17.166666666666668,4.355073669487885
tos936_trees,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.7614205132883294,0.04986530072217888,0.010883358685054962,0.002301256913968742,0.05001253268975727,8.896797669911993e-06,0.8884827323561315,0.043404320385564354,0.1420735545339236,0.02722953818967746,20.5,4.370354676682432
