days_before,mean_abs_ig,q25,q75
13,0.007896138,0.004289001,0.010644795
12,0.028855633,0.00710859,0.024506373
11,0.029971313,0.009820811,0.024286158
10,0.034510933,0.014279273,0.037319157
9,0.030624583,0.0140689155,0.03267838
8,0.05207494,0.021155741,0.06467709
7,0.038445137,0.017778395,0.044082
6,0.05511927,0.028349163,0.06528787
5,0.04242032,0.024361625,0.049549136
4,0.07093495,0.037559047,0.08383144
3,0.06518911,0.03456513,0.07394513
2,0.09517244,0.061010167,0.11719368
1,0.063804984,0.038595635,0.08036066
0,0.12481845,0.07164231,0.16702007
