trial,pauc,epochs,receptive_field,width,num_levels,kernel_size,dropout,learning_rate,weight_decay,batch_size
4,0.896495148421292,7,29,32,3,3,0.09829118084002675,0.0005463240777949559,0.0019229718174853703,1024
20,0.8951129599415778,9,57,32,3,5,0.10018578306986839,0.00010903129991144798,0.002870417386121661,2048
16,0.8949804498564258,9,57,32,3,5,0.06059732178465843,0.0006077737398388276,0.0023096131145538415,2048
0,0.894279217712753,9,57,64,3,5,0.48183138025051464,0.0005846326121643416,0.001468588598920087,2048
3,0.8939624030204465,9,57,32,3,5,0.2850983852089398,0.0007537078298264387,0.008984529773922553,1024
2,0.8932680947233997,9,57,256,3,5,0.3060478613612107,0.0017134364197119662,0.005956516018710569,512
26,0.8932354697999114,12,57,32,3,5,0.13592607597326384,0.00099099854529131,0.004906022972478634,2048
19,0.8929397051820108,8,15,32,3,2,0.004514144867615838,0.00025554395056359393,8.067779227899327e-05,1024
1,0.8918466374990354,9,61,256,4,3,0.23073968112646592,0.0036396393567863887,2.9723346443356557e-06,2048
5,0.8913710549155363,8,61,128,4,3,0.14807009876107247,0.00017276487008217891,1.8703923501768496e-05,2048
