experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15517022877931652,29,37316,7,22,46,37270,0.2413793103448276,0.1320754716981132,0.0012327151891949834,0.8991788675283967,0.10459698313358003
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0216327817365523,29,37316,19,10,220,37096,0.6551724137931034,0.0794979079497908,0.005895594383106442,0.8991788675283967,0.10459698313358003
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033753650356084233,29,37316,23,6,409,36907,0.7931034482758621,0.05324074074074074,0.010960445921320613,0.8991788675283967,0.10459698313358003
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00023609733034390842,29,37316,24,5,1807,35509,0.8275862068965517,0.013107591480065538,0.04842426841033337,0.8991788675283967,0.10459698313358003
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15517022877931652,27,37286,9,18,42,37244,0.3333333333333333,0.17647058823529413,0.0011264281499758623,0.9041870546188521,0.15289737226839836
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0216327817365523,27,37286,16,11,228,37058,0.5925925925925926,0.06557377049180328,0.006114895671297538,0.9041870546188521,0.15289737226839836
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033753650356084233,27,37286,19,8,429,36857,0.7037037037037037,0.04241071428571429,0.011505658960467735,0.9041870546188521,0.15289737226839836
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00023609733034390842,27,37286,23,4,1850,35436,0.8518518518518519,0.012279765082754938,0.04961647803465107,0.9041870546188521,0.15289737226839836
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15517022877931652,18,37265,5,13,59,37206,0.2777777777777778,0.078125,0.0015832550650744666,0.9331797784635568,0.13705616569589665
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0216327817365523,18,37265,12,6,299,36966,0.6666666666666666,0.03858520900321544,0.00802361465181806,0.9331797784635568,0.13705616569589665
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033753650356084233,18,37265,15,3,594,36671,0.8333333333333334,0.024630541871921183,0.015939889977190393,0.9331797784635568,0.13705616569589665
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00023609733034390842,18,37265,16,2,1925,35340,0.8888888888888888,0.00824317362184441,0.051657050852005906,0.9331797784635568,0.13705616569589665
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15517022877931652,29,37220,11,18,56,37164,0.3793103448275862,0.16417910447761194,0.0015045674368619022,0.9322740832700254,0.10852904241568717
