experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1790310508012749,29,37316,6,23,38,37278,0.20689655172413793,0.13636363636363635,0.0010183299389002036,0.8966265741606633,0.12187749652696418
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.014926228811964527,29,37316,20,9,187,37129,0.6896551724137931,0.0966183574879227,0.005011255225640476,0.8966265741606633,0.12187749652696418
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0018718147301114568,29,37316,22,7,374,36942,0.7586206896551724,0.05555555555555555,0.010022510451280952,0.8966265741606633,0.12187749652696418
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00010928713709290605,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.8966265741606633,0.12187749652696418
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.204997903108582,27,37286,8,19,38,37248,0.2962962962962963,0.17391304347826086,0.0010191492785495897,0.8365705726109095,0.1286213773737662
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.019568008277565156,27,37286,17,10,187,37099,0.6296296296296297,0.08333333333333333,0.005015287239178244,0.8365705726109095,0.1286213773737662
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0025292776175775216,27,37286,19,8,373,36913,0.7037037037037037,0.04846938775510204,0.01000375476049992,0.8365705726109095,0.1286213773737662
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00011008308501914144,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8365705726109095,0.1286213773737662
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.2802177543640132,18,37265,4,14,38,37227,0.2222222222222222,0.09523809523809523,0.0010197236012344023,0.9432160054862322,0.13597442038802243
tcnlb_30_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.062271995693445374,18,37265,11,7,187,37078,0.6111111111111112,0.05555555555555555,0.005018113511337716,0.9432160054862322,0.13597442038802243
