experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11950144749880309,29,37316,7,22,51,37265,0.2413793103448276,0.1206896551724138,0.0013667059706292206,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.023682888559996357,29,37316,21,8,201,37115,0.7241379310344828,0.0945945945945946,0.005386429413656341,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00655342647340149,29,37316,23,6,404,36912,0.7931034482758621,0.053864168618266976,0.010826455139886376,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00026094555360032195,29,37316,24,5,1542,35774,0.8275862068965517,0.01532567049808429,0.04132275699431879,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11950144749880309,27,37286,12,15,44,37242,0.4444444444444444,0.21428571428571427,0.0011800675856889985,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.023682888559996357,27,37286,19,8,208,37078,0.7037037037037037,0.08370044052863436,0.005578501314166175,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00655342647340149,27,37286,20,7,426,36860,0.7407407407407407,0.04484304932735426,0.011425199806898031,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00026094555360032195,27,37286,21,6,1688,35598,0.7777777777777778,0.012287887653598596,0.04527168374188704,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11950144749880309,18,37265,8,10,92,37173,0.4444444444444444,0.08,0.002468804508251711,0.9324880361375731,0.09170710895430322
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.023682888559996357,18,37265,12,6,392,36873,0.6666666666666666,0.0297029702970297,0.010519253991681202,0.9324880361375731,0.09170710895430322
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00655342647340149,18,37265,14,4,605,36660,0.7777777777777778,0.022617124394184167,0.016235073124916143,0.9324880361375731,0.09170710895430322
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00026094555360032195,18,37265,16,2,1724,35541,0.8888888888888888,0.009195402298850575,0.04626324969810815,0.9324880361375731,0.09170710895430322
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11950144749880309,29,37220,6,23,62,37158,0.20689655172413793,0.08823529411764706,0.0016657710908113917,0.9127601030221053,0.07840785397074798
