experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1446552374958948,29,37316,7,22,38,37278,0.2413793103448276,0.15555555555555556,0.0010183299389002036,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.027781210420655563,29,37316,19,10,187,37129,0.6551724137931034,0.09223300970873786,0.005011255225640476,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0075929745566099835,29,37316,23,6,374,36942,0.7931034482758621,0.05793450881612091,0.010022510451280952,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00021155130525585264,29,37316,24,5,1866,35450,0.8275862068965517,0.012698412698412698,0.05000535963125737,0.9122249492683179,0.17179070596239265
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.13917071811853432,27,37286,9,18,38,37248,0.3333333333333333,0.19148936170212766,0.0010191492785495897,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.02730228165164566,27,37286,19,8,187,37099,0.7037037037037037,0.09223300970873786,0.005015287239178244,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.008471276331692963,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00023636139303562231,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8804317378581177,0.1559402356509352
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.16478505444525965,18,37265,5,13,38,37227,0.2777777777777778,0.11627906976744186,0.0010197236012344023,0.9324880361375731,0.09170710895430322
tos_proposed_tcn,TOSHIBA_20MG07ACA14TA,tcn_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.07188585758209232,18,37265,11,7,187,37078,0.6111111111111112,0.05555555555555555,0.005018113511337716,0.9324880361375731,0.09170710895430322
