experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.165441163768122,16,9782,5,11,17,9765,0.3125,0.22727272727272727,0.0017378859129012472,0.9717018503373542,0.168583251304355
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08670292868932611,16,9782,10,6,89,9693,0.625,0.10101010101010101,0.009098343896953588,0.9717018503373542,0.168583251304355
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06009473711118664,16,9782,11,5,162,9620,0.6875,0.06358381502890173,0.016561030464117766,0.9717018503373542,0.168583251304355
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.01229358869987949,16,9782,12,4,601,9181,0.75,0.01957585644371941,0.06143937845021468,0.9717018503373542,0.168583251304355
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.165441163768122,17,9741,8,9,30,9711,0.47058823529411764,0.21052631578947367,0.003079765937788728,0.9526259533687205,0.21220006430002744
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08670292868932611,17,9741,10,7,92,9649,0.5882352941176471,0.09803921568627451,0.009444615542552099,0.9526259533687205,0.21220006430002744
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06009473711118664,17,9741,11,6,165,9576,0.6470588235294118,0.0625,0.016938712657838004,0.9526259533687205,0.21220006430002744
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.01229358869987949,17,9741,13,4,634,9107,0.7647058823529411,0.02009273570324575,0.06508572015193512,0.9526259533687205,0.21220006430002744
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.165441163768122,14,9724,4,10,44,9680,0.2857142857142857,0.08333333333333333,0.004524886877828055,0.9654095904095905,0.06859868711392918
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08670292868932611,14,9724,6,8,133,9591,0.42857142857142855,0.04316546762589928,0.013677498971616618,0.9654095904095905,0.06859868711392918
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06009473711118664,14,9724,10,4,208,9516,0.7142857142857143,0.045871559633027525,0.0213903743315508,0.9654095904095905,0.06859868711392918
baseline,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.01229358869987949,14,9724,11,3,636,9088,0.7857142857142857,0.017001545595054096,0.06540518305224187,0.9654095904095905,0.06859868711392918
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16767778944968978,16,9782,4,12,22,9760,0.25,0.15384615384615385,0.0022490288284604375,0.9481445512165202,0.108400699920636
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05645871795713762,16,9782,6,10,67,9715,0.375,0.0821917808219178,0.00684931506849315,0.9481445512165202,0.108400699920636
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.03064224269241162,16,9782,8,8,128,9654,0.5,0.058823529411764705,0.013085258638315273,0.9481445512165202,0.108400699920636
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0031357886036857893,16,9782,12,4,524,9258,0.75,0.022388059701492536,0.05356777755060315,0.9481445512165202,0.108400699920636
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16767778944968978,17,9741,3,14,16,9725,0.17647058823529413,0.15789473684210525,0.0016425418334873217,0.9509773727784924,0.1732033068273601
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05645871795713762,17,9741,9,8,64,9677,0.5294117647058824,0.1232876712328767,0.006570167333949287,0.9509773727784924,0.1732033068273601
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.03064224269241162,17,9741,10,7,122,9619,0.5882352941176471,0.07575757575757576,0.012524381480340827,0.9509773727784924,0.1732033068273601
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0031357886036857893,17,9741,14,3,460,9281,0.8235294117647058,0.029535864978902954,0.0472230777127605,0.9509773727784924,0.1732033068273601
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.16767778944968978,14,9724,0,14,25,9699,0.0,0.0,0.0025709584533113944,0.9667391432097314,0.03613992845269938
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05645871795713762,14,9724,4,10,77,9647,0.2857142857142857,0.04938271604938271,0.007918552036199095,0.9667391432097314,0.03613992845269938
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.03064224269241162,14,9724,6,8,127,9597,0.42857142857142855,0.045112781954887216,0.013060468942821883,0.9667391432097314,0.03613992845269938
baseline,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0031357886036857893,14,9724,10,4,443,9281,0.7142857142857143,0.02207505518763797,0.04555738379267791,0.9667391432097314,0.03613992845269938
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20068308863042755,16,9782,3,13,20,9762,0.1875,0.13043478260869565,0.0020445716622367613,0.9557861378041301,0.08508931114269631
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08629081135522912,16,9782,4,12,56,9726,0.25,0.06666666666666667,0.0057248006542629315,0.9557861378041301,0.08508931114269631
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0285177665125191,16,9782,6,10,107,9675,0.375,0.05309734513274336,0.010938458392966673,0.9557861378041301,0.08508931114269631
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003473084930680987,16,9782,13,3,534,9248,0.8125,0.02376599634369287,0.05459006338172153,0.9557861378041301,0.08508931114269631
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20068308863042755,17,9741,7,10,20,9721,0.4117647058823529,0.25925925925925924,0.002053177291859152,0.925859164115292,0.15015519399092506
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08629081135522912,17,9741,8,9,57,9684,0.47058823529411764,0.12307692307692308,0.005851555281798583,0.925859164115292,0.15015519399092506
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0285177665125191,17,9741,9,8,95,9646,0.5294117647058824,0.08653846153846154,0.009752592136330972,0.925859164115292,0.15015519399092506
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003473084930680987,17,9741,13,4,518,9223,0.7647058823529411,0.02448210922787194,0.053177291859152036,0.925859164115292,0.15015519399092506
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20068308863042755,14,9724,2,12,25,9699,0.14285714285714285,0.07407407407407407,0.0025709584533113944,0.9646750308515014,0.055039142373897926
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08629081135522912,14,9724,4,10,73,9651,0.2857142857142857,0.05194805194805195,0.007507198683669272,0.9646750308515014,0.055039142373897926
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0285177665125191,14,9724,5,9,125,9599,0.35714285714285715,0.038461538461538464,0.012854792266556973,0.9646750308515014,0.055039142373897926
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003473084930680987,14,9724,11,3,551,9173,0.7857142857142857,0.019572953736654804,0.05666392431098313,0.9646750308515014,0.055039142373897926
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.13695251613855272,16,9782,6,10,20,9762,0.375,0.23076923076923078,0.0020445716622367613,0.975688765078716,0.3395437942656194
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.04079494204372165,16,9782,10,6,72,9710,0.625,0.12195121951219512,0.007360457984052341,0.975688765078716,0.3395437942656194
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.026020196899771756,16,9782,11,5,117,9665,0.6875,0.0859375,0.011960744224085055,0.975688765078716,0.3395437942656194
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003068801457993678,16,9782,15,1,492,9290,0.9375,0.029585798816568046,0.05029646289102433,0.975688765078716,0.3395437942656194
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.13695251613855272,17,9741,6,11,15,9726,0.35294117647058826,0.2857142857142857,0.001539882968894364,0.9445098643091361,0.18194474175436343
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.04079494204372165,17,9741,10,7,75,9666,0.5882352941176471,0.11764705882352941,0.0076994148444718205,0.9445098643091361,0.18194474175436343
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.026020196899771756,17,9741,10,7,112,9629,0.5882352941176471,0.08196721311475409,0.011497792834411252,0.9445098643091361,0.18194474175436343
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003068801457993678,17,9741,13,4,494,9247,0.7647058823529411,0.02564102564102564,0.05071347910892106,0.9445098643091361,0.18194474175436343
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.13695251613855272,14,9724,3,11,21,9703,0.21428571428571427,0.125,0.0021596051007815712,0.9728506787330318,0.10507462128287319
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.04079494204372165,14,9724,7,7,81,9643,0.5,0.07954545454545454,0.008329905388728917,0.9728506787330318,0.10507462128287319
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.026020196899771756,14,9724,8,6,131,9593,0.5714285714285714,0.05755395683453238,0.013471822295351706,0.9728506787330318,0.10507462128287319
baseline,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003068801457993678,14,9724,11,3,500,9224,0.7857142857142857,0.021526418786692758,0.05141916906622789,0.9728506787330318,0.10507462128287319
