experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.2127659574468085,0.0,0.25,0.0,0.0010257462303826033,0.0,0.963245798038555,0.0,0.14979400090610387,0.0,10.0,0.0
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.3617021276595745,0.0,0.10365853658536585,0.0,0.005026156528874756,0.0,0.963245798038555,0.0,0.14979400090610387,0.0,17.0,0.0
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.5319148936170213,0.0,0.07836990595611286,0.0,0.010052313057749512,0.0,0.963245798038555,0.0,0.14979400090610387,0.0,25.0,0.0
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.7446808510638298,0.0,0.023333333333333334,0.0,0.0500906075836838,0.0,0.963245798038555,0.0,0.14979400090610387,0.0,35.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.10638297872340426,0.0,0.14285714285714285,0.0,0.0010257462303826033,0.0,0.9552870224015813,0.0,0.1059146450668985,0.0,5.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.2978723404255319,0.0,0.08695652173913043,0.0,0.005026156528874756,0.0,0.9552870224015813,0.0,0.1059146450668985,0.0,14.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.44680851063829785,0.0,0.06666666666666667,0.0,0.010052313057749512,0.0,0.9552870224015813,0.0,0.1059146450668985,0.0,21.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.7872340425531915,0.0,0.02463382157123835,0.0,0.0500906075836838,0.0,0.9552870224015813,0.0,0.1059146450668985,0.0,37.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.1276595744680851,0.0,0.16666666666666666,0.0,0.0010257462303826033,0.0,0.9487734442569745,0.0,0.09676121583583978,0.0,6.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.3191489361702128,0.0,0.09259259259259259,0.0,0.005026156528874756,0.0,0.9487734442569745,0.0,0.09676121583583978,0.0,15.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.40425531914893614,0.0,0.06070287539936102,0.0,0.010052313057749512,0.0,0.9487734442569745,0.0,0.09676121583583978,0.0,19.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.7659574468085106,0.0,0.023984010659560292,0.0,0.0500906075836838,0.0,0.9487734442569745,0.0,0.09676121583583978,0.0,36.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.19148936170212766,0.0,0.23076923076923078,0.0,0.0010257462303826033,0.0,0.9643497693736279,0.0,0.20885438576761864,0.0,9.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.46808510638297873,0.0,0.1301775147928994,0.0,0.005026156528874756,0.0,0.9643497693736279,0.0,0.20885438576761864,0.0,22.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.5957446808510638,0.0,0.08695652173913043,0.0,0.010052313057749512,0.0,0.9643497693736279,0.0,0.20885438576761864,0.0,28.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.8297872340425532,0.0,0.025930851063829786,0.0,0.0500906075836838,0.0,0.9643497693736279,0.0,0.20885438576761864,0.0,39.0,0.0
