experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.29193923848862857,16,9782,4,12,22,9760,0.25,0.15384615384615385,0.0022490288284604375,0.9262101308525864,0.1120888741239924
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08755862206220587,16,9782,9,7,68,9714,0.5625,0.11688311688311688,0.006951543651604989,0.9262101308525864,0.1120888741239924
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.05095580875873573,16,9782,10,6,116,9666,0.625,0.07936507936507936,0.011858515640973216,0.9262101308525864,0.1120888741239924
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0050609173253178584,16,9782,14,2,482,9300,0.875,0.028225806451612902,0.04927417705990595,0.9262101308525864,0.1120888741239924
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.29193923848862857,17,9741,3,14,18,9723,0.17647058823529413,0.14285714285714285,0.0018478595626732369,0.9495280711607094,0.1839988029721001
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08755862206220587,17,9741,7,10,71,9670,0.4117647058823529,0.08974358974358974,0.00728877938609999,0.9495280711607094,0.1839988029721001
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.05095580875873573,17,9741,10,7,123,9618,0.5882352941176471,0.07518796992481203,0.012627040344933785,0.9495280711607094,0.1839988029721001
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0050609173253178584,17,9741,13,4,469,9272,0.7647058823529411,0.026970954356846474,0.048147007494097116,0.9495280711607094,0.1839988029721001
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.29193923848862857,14,9724,4,10,29,9695,0.2857142857142857,0.12121212121212122,0.0029823118058412176,0.9745254745254746,0.08137039839921817
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08755862206220587,14,9724,7,7,84,9640,0.5,0.07692307692307693,0.008638420403126285,0.9745254745254746,0.08137039839921817
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.05095580875873573,14,9724,9,5,143,9581,0.6428571428571429,0.05921052631578947,0.014705882352941176,0.9745254745254746,0.08137039839921817
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0050609173253178584,14,9724,11,3,486,9238,0.7857142857142857,0.022132796780684104,0.04997943233237351,0.9745254745254746,0.08137039839921817
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.15301368868350598,16,9782,4,12,22,9760,0.25,0.15384615384615385,0.0022490288284604375,0.9562078307094664,0.14327673522152823
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05410018619149916,16,9782,8,8,81,9701,0.5,0.0898876404494382,0.008280515232058883,0.9562078307094664,0.14327673522152823
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.037637598663568674,16,9782,9,7,127,9655,0.5625,0.0661764705882353,0.012983030055203435,0.9562078307094664,0.14327673522152823
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004042340302839869,16,9782,15,1,529,9253,0.9375,0.027573529411764705,0.05407892046616234,0.9562078307094664,0.14327673522152823
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.15301368868350598,17,9741,7,10,27,9714,0.4117647058823529,0.20588235294117646,0.002771789344009855,0.9523179767749416,0.23472771389384856
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05410018619149916,17,9741,10,7,83,9658,0.5882352941176471,0.10752688172043011,0.008520685761215481,0.9523179767749416,0.23472771389384856
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.037637598663568674,17,9741,10,7,125,9616,0.5882352941176471,0.07407407407407407,0.0128323580741197,0.9523179767749416,0.23472771389384856
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004042340302839869,17,9741,14,3,515,9226,0.8235294117647058,0.026465028355387523,0.05286931526537317,0.9523179767749416,0.23472771389384856
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.15301368868350598,14,9724,3,11,38,9686,0.21428571428571427,0.07317073170731707,0.00390785684903332,0.9731371569606864,0.08054763461674368
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05410018619149916,14,9724,7,7,103,9621,0.5,0.06363636363636363,0.010592348827642945,0.9731371569606864,0.08054763461674368
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.037637598663568674,14,9724,7,7,157,9567,0.5,0.042682926829268296,0.016145619086795557,0.9731371569606864,0.08054763461674368
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004042340302839869,14,9724,12,2,504,9220,0.8571428571428571,0.023255813953488372,0.05183052241875771,0.9731371569606864,0.08054763461674368
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1342897003889045,16,9782,3,13,30,9752,0.1875,0.09090909090909091,0.003066857493355142,0.9600477918626047,0.11722288351012622
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07073788292705979,16,9782,8,8,66,9716,0.5,0.10810810810810811,0.006747086485381313,0.9600477918626047,0.11722288351012622
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.028481739871204025,16,9782,12,4,130,9652,0.75,0.08450704225352113,0.01328971580453895,0.9600477918626047,0.11722288351012622
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.002202143333852289,16,9782,15,1,501,9281,0.9375,0.029069767441860465,0.05121652013903087,0.9600477918626047,0.11722288351012622
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1342897003889045,17,9741,5,12,22,9719,0.29411764705882354,0.18518518518518517,0.0022584950210450673,0.9583084234617777,0.19382930163190254
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07073788292705979,17,9741,8,9,54,9687,0.47058823529411764,0.12903225806451613,0.00554357868801971,0.9583084234617777,0.19382930163190254
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.028481739871204025,17,9741,10,7,110,9631,0.5882352941176471,0.08333333333333333,0.011292475105225337,0.9583084234617777,0.19382930163190254
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.002202143333852289,17,9741,13,4,463,9278,0.7647058823529411,0.0273109243697479,0.047531054306539366,0.9583084234617777,0.19382930163190254
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1342897003889045,14,9724,2,12,23,9701,0.14285714285714285,0.08,0.002365281777046483,0.9758109537521302,0.08113356042095277
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07073788292705979,14,9724,7,7,60,9664,0.5,0.1044776119402985,0.006170300287947347,0.9758109537521302,0.08113356042095277
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.028481739871204025,14,9724,9,5,125,9599,0.6428571428571429,0.06716417910447761,0.012854792266556973,0.9758109537521302,0.08113356042095277
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.002202143333852289,14,9724,11,3,467,9257,0.7857142857142857,0.02301255230125523,0.04802550390785685,0.9758109537521302,0.08113356042095277
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20281156253814492,16,9782,3,13,24,9758,0.1875,0.1111111111111111,0.0024534859946841138,0.9351167961562052,0.17415638088679655
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08968354374170182,16,9782,7,9,61,9721,0.4375,0.10294117647058823,0.0062359435698221225,0.9351167961562052,0.17415638088679655
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.04696242630481764,16,9782,9,7,121,9661,0.5625,0.06923076923076923,0.012369658556532406,0.9351167961562052,0.17415638088679655
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004663256835192439,16,9782,15,1,480,9302,0.9375,0.030303030303030304,0.04906971989368227,0.9351167961562052,0.17415638088679655
