experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.14015558049081617,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9174951441423022,0.13658214578114367
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.06838401447981561,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9174951441423022,0.13658214578114367
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.04107066977769152,16,9782,9,7,98,9684,0.5625,0.08411214953271028,0.01001840114496013,0.9174951441423022,0.13658214578114367
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0048590304097160504,16,9782,13,3,490,9292,0.8125,0.02584493041749503,0.05009200572480065,0.9174951441423022,0.13658214578114367
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.16330904811620767,17,9741,0,17,10,9731,0.0,0.0,0.001026588645929576,0.9156808396287373,0.0569905428202701
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.06717305406928048,17,9741,6,11,49,9692,0.35294117647058826,0.10909090909090909,0.005030284365054922,0.9156808396287373,0.0569905428202701
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.04130449071526555,17,9741,7,10,98,9643,0.4117647058823529,0.06666666666666667,0.010060568730109845,0.9156808396287373,0.0569905428202701
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004543924238532782,17,9741,11,6,488,9253,0.6470588235294118,0.022044088176352707,0.05009752592136331,0.9156808396287373,0.0569905428202701
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.20483805377781425,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9747605335840629,0.10836593186964152
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.0720713102072478,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9747605335840629,0.10836593186964152
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.047365756146610295,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9747605335840629,0.10836593186964152
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0045606165891513275,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9747605335840629,0.10836593186964152
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.18846846096217157,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9511794622776528,0.12159181468073749
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.08253581922501255,16,9782,5,11,49,9733,0.3125,0.09259259259259259,0.005009200572480065,0.9511794622776528,0.12159181468073749
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.04673946429044022,16,9782,8,8,98,9684,0.5,0.07547169811320754,0.01001840114496013,0.9511794622776528,0.12159181468073749
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.005540997860953197,16,9782,12,4,490,9292,0.75,0.02390438247011952,0.05009200572480065,0.9511794622776528,0.12159181468073749
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.19832668721675878,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.8956261284926659,0.1609131322453328
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.08163099363446219,17,9741,7,10,49,9692,0.4117647058823529,0.125,0.005030284365054922,0.8956261284926659,0.1609131322453328
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.04465735107660296,17,9741,7,10,98,9643,0.4117647058823529,0.06666666666666667,0.010060568730109845,0.8956261284926659,0.1609131322453328
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.005171807017177343,17,9741,12,5,488,9253,0.7058823529411765,0.024,0.05009752592136331,0.8956261284926659,0.1609131322453328
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.21129384249448782,14,9724,3,11,10,9714,0.21428571428571427,0.23076923076923078,0.0010283833813245578,0.9762002703179175,0.11998392978397018
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.09925474058836717,14,9724,4,10,49,9675,0.2857142857142857,0.07547169811320754,0.005039078568490334,0.9762002703179175,0.11998392978397018
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.04499529801309114,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9762002703179175,0.11998392978397018
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.005143843009136618,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9762002703179175,0.11998392978397018
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.21721026985346809,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9346248210999797,0.11598944886433435
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.07846172548830309,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9346248210999797,0.11598944886433435
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.041175622791052295,16,9782,9,7,98,9684,0.5625,0.08411214953271028,0.01001840114496013,0.9346248210999797,0.11598944886433435
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0037491128779947743,16,9782,13,3,490,9292,0.8125,0.02584493041749503,0.05009200572480065,0.9346248210999797,0.11598944886433435
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.16336301475763346,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9638157696093528,0.18636238128973417
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.0736558400094502,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9638157696093528,0.18636238128973417
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.03537309393286719,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9638157696093528,0.18636238128973417
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.00341367581859231,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9638157696093528,0.18636238128973417
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.19048581518232874,14,9724,4,10,10,9714,0.2857142857142857,0.2857142857142857,0.0010283833813245578,0.9768760651113593,0.13978234214594368
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.0688404324650766,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9768760651113593,0.13978234214594368
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.03915129251778135,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9768760651113593,0.13978234214594368
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.003163954231422396,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9768760651113593,0.13978234214594368
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1394793361425259,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9727624718871396,0.11227043455653406
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.04700592326000268,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9727624718871396,0.11227043455653406
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.029832163956016535,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9727624718871396,0.11227043455653406
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0031297978013753646,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9727624718871396,0.11227043455653406
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.12810440003871987,17,9741,2,15,10,9731,0.11764705882352941,0.16666666666666666,0.001026588645929576,0.9567806180063648,0.1156360378200232
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.043225853145122506,17,9741,6,11,49,9692,0.35294117647058826,0.10909090909090909,0.005030284365054922,0.9567806180063648,0.1156360378200232
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.024607325345277795,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9567806180063648,0.1156360378200232
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.002898866543546319,17,9741,13,4,488,9253,0.7647058823529411,0.02594810379241517,0.05009752592136331,0.9567806180063648,0.1156360378200232
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.12667890141904378,14,9724,2,12,10,9714,0.14285714285714285,0.16666666666666666,0.0010283833813245578,0.9774416759710877,0.10883478259587354
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.04591313803568497,14,9724,7,7,49,9675,0.5,0.125,0.005039078568490334,0.9774416759710877,0.10883478259587354
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.02606704007834204,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9774416759710877,0.10883478259587354
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.002800087875220926,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9774416759710877,0.10883478259587354
