experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,month_quantile,0.001,1,47,29247,0.1276595744680851,0.0,0.16666666666666666,0.0,0.0010257462303826033,0.0,0.9500878921795901,0.0,0.1258193584984369,0.0,6.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,month_quantile,0.005,1,47,29247,0.40425531914893614,0.0,0.1144578313253012,0.0,0.005026156528874756,0.0,0.9500878921795901,0.0,0.1258193584984369,0.0,19.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,month_quantile,0.01,1,47,29247,0.5957446808510638,0.0,0.08695652173913043,0.0,0.010052313057749512,0.0,0.9500878921795901,0.0,0.1258193584984369,0.0,28.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,gru,sequence,in_horizon,month_quantile,0.05,1,47,29247,0.8085106382978723,0.0,0.025282767797737856,0.0,0.0500906075836838,0.0,0.9500878921795901,0.0,0.1258193584984369,0.0,38.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,month_quantile,0.001,1,47,29247,0.1702127659574468,0.0,0.21052631578947367,0.0,0.0010257462303826033,0.0,0.960554321481698,0.0,0.1528506945773735,0.0,8.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,month_quantile,0.005,1,47,29247,0.40425531914893614,0.0,0.1144578313253012,0.0,0.005026156528874756,0.0,0.960554321481698,0.0,0.1528506945773735,0.0,19.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,month_quantile,0.01,1,47,29247,0.5319148936170213,0.0,0.07836990595611286,0.0,0.010052313057749512,0.0,0.960554321481698,0.0,0.1528506945773735,0.0,25.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,month_quantile,0.05,1,47,29247,0.8723404255319149,0.0,0.027224435590969456,0.0,0.0500906075836838,0.0,0.960554321481698,0.0,0.1528506945773735,0.0,41.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,month_quantile,0.001,1,47,29247,0.1276595744680851,0.0,0.16666666666666666,0.0,0.0010257462303826033,0.0,0.964722389692171,0.0,0.13072858185432717,0.0,6.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,month_quantile,0.005,1,47,29247,0.40425531914893614,0.0,0.1144578313253012,0.0,0.005026156528874756,0.0,0.964722389692171,0.0,0.13072858185432717,0.0,19.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,month_quantile,0.01,1,47,29247,0.6595744680851063,0.0,0.09538461538461539,0.0,0.010052313057749512,0.0,0.964722389692171,0.0,0.13072858185432717,0.0,31.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,month_quantile,0.05,1,47,29247,0.8297872340425532,0.0,0.025930851063829786,0.0,0.0500906075836838,0.0,0.964722389692171,0.0,0.13072858185432717,0.0,39.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,month_quantile,0.001,1,47,29247,0.1702127659574468,0.0,0.21052631578947367,0.0,0.0010257462303826033,0.0,0.9562011899547564,0.0,0.15375867674068386,0.0,8.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,month_quantile,0.005,1,47,29247,0.3404255319148936,0.0,0.09815950920245399,0.0,0.005026156528874756,0.0,0.9562011899547564,0.0,0.15375867674068386,0.0,16.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,month_quantile,0.01,1,47,29247,0.574468085106383,0.0,0.08411214953271028,0.0,0.010052313057749512,0.0,0.9562011899547564,0.0,0.15375867674068386,0.0,27.0,0.0
baseline_seq14,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,month_quantile,0.05,1,47,29247,0.8297872340425532,0.0,0.025930851063829786,0.0,0.0500906075836838,0.0,0.9562011899547564,0.0,0.15375867674068386,0.0,39.0,0.0
