experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.3745470355749109,16,9782,8,8,32,9750,0.5,0.2,0.003271314659578818,0.9678075802494377,0.22936431426030693
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.31258791446685696,16,9782,11,5,78,9704,0.6875,0.12359550561797752,0.00797382948272337,0.9678075802494377,0.22936431426030693
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.30094972252845764,16,9782,13,3,119,9663,0.8125,0.09848484848484848,0.01216520139030873,0.9678075802494377,0.22936431426030693
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004558663442730902,16,9782,15,1,525,9257,0.9375,0.027777777777777776,0.05367000613371499,0.9678075802494377,0.22936431426030693
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.3745470355749109,17,9741,6,11,20,9721,0.35294117647058826,0.23076923076923078,0.002053177291859152,0.9381540728394837,0.2051604161393351
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.31258791446685696,17,9741,7,10,70,9671,0.4117647058823529,0.09090909090909091,0.007186120521507032,0.9381540728394837,0.2051604161393351
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.30094972252845764,17,9741,8,9,149,9592,0.47058823529411764,0.050955414012738856,0.015296170824350683,0.9381540728394837,0.2051604161393351
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004558663442730902,17,9741,13,4,535,9206,0.7647058823529411,0.023722627737226276,0.05492249255723232,0.9381540728394837,0.2051604161393351
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.3745470355749109,14,9724,2,12,33,9691,0.14285714285714285,0.05714285714285714,0.003393665158371041,0.9659237821002529,0.03709534424523597
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.31258791446685696,14,9724,3,11,100,9624,0.21428571428571427,0.02912621359223301,0.010283833813245578,0.9659237821002529,0.03709534424523597
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.30094972252845764,14,9724,5,9,122,9602,0.35714285714285715,0.03937007874015748,0.012546277252159605,0.9659237821002529,0.03709534424523597
feat_asfd14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004558663442730902,14,9724,11,3,514,9210,0.7857142857142857,0.02095238095238095,0.05285890580008227,0.9659237821002529,0.03709534424523597
