experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.14940033915638723,16,9782,6,10,14,9768,0.375,0.3,0.0014312001635657329,0.9521122980985484,0.18457564685415714
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0648187594860789,16,9782,10,6,71,9711,0.625,0.12345679012345678,0.007258229400940503,0.9521122980985484,0.18457564685415714
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.036175607219339045,16,9782,11,5,135,9647,0.6875,0.07534246575342465,0.01380085872009814,0.9521122980985484,0.18457564685415714
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0053032478783279265,16,9782,15,1,538,9244,0.9375,0.027124773960216998,0.05499897771416888,0.9521122980985484,0.18457564685415714
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.14940033915638723,17,9741,6,11,21,9720,0.35294117647058826,0.2222222222222222,0.0021558361564521095,0.9580849894623695,0.16936397382040488
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0648187594860789,17,9741,9,8,61,9680,0.5294117647058824,0.12857142857142856,0.006262190740170414,0.9580849894623695,0.16936397382040488
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.036175607219339045,17,9741,9,8,108,9633,0.5294117647058824,0.07692307692307693,0.01108715737603942,0.9580849894623695,0.16936397382040488
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0053032478783279265,17,9741,13,4,568,9173,0.7647058823529411,0.022375215146299483,0.05831023508879992,0.9580849894623695,0.16936397382040488
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.14940033915638723,14,9724,0,14,37,9687,0.0,0.0,0.003805018510900864,0.9736146206734442,0.050326991904875114
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0648187594860789,14,9724,7,7,79,9645,0.5,0.08139534883720931,0.008124228712464007,0.9736146206734442,0.050326991904875114
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.036175607219339045,14,9724,8,6,127,9597,0.5714285714285714,0.05925925925925926,0.013060468942821883,0.9736146206734442,0.050326991904875114
feat_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0053032478783279265,14,9724,12,2,525,9199,0.8571428571428571,0.0223463687150838,0.053990127519539285,0.9736146206734442,0.050326991904875114
