experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32934634709357,16,9782,3,13,16,9766,0.1875,0.15789473684210525,0.001635657329789409,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.11258299037814007,16,9782,10,6,80,9702,0.625,0.1111111111111111,0.008178286648947045,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0658156479895117,16,9782,12,4,131,9651,0.75,0.08391608391608392,0.013391944387650788,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007530793035402892,16,9782,15,1,561,9221,0.9375,0.026041666666666668,0.05735023512574116,0.9494032406460846,0.1893186043797268
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32934634709357,17,9741,5,12,13,9728,0.29411764705882354,0.2777777777777778,0.0013345652397084489,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.11258299037814007,17,9741,8,9,50,9691,0.47058823529411764,0.13793103448275862,0.00513294322964788,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0658156479895117,17,9741,10,7,109,9632,0.5882352941176471,0.08403361344537816,0.011189816240632379,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007530793035402892,17,9741,14,3,515,9226,0.8235294117647058,0.026465028355387523,0.05286931526537317,0.9544979679583567,0.14539603611046856
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32934634709357,14,9724,1,13,22,9702,0.07142857142857142,0.043478260869565216,0.0022624434389140274,0.9739157900922607,0.06038836572451186
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.11258299037814007,14,9724,6,8,71,9653,0.42857142857142855,0.07792207792207792,0.0073015220074043605,0.9739157900922607,0.06038836572451186
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0658156479895117,14,9724,9,5,121,9603,0.6428571428571429,0.06923076923076923,0.012443438914027148,0.9739157900922607,0.06038836572451186
feat_combo_asfd28_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007530793035402892,14,9724,11,3,456,9268,0.7857142857142857,0.023554603854389723,0.04689428218839983,0.9739157900922607,0.06038836572451186
