experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20863335767387467,16,9782,5,11,13,9769,0.3125,0.2777777777777778,0.001328971580453895,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08199025273322944,16,9782,10,6,62,9720,0.625,0.1388888888888889,0.00633817215293396,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.04525589913129854,16,9782,12,4,135,9647,0.75,0.08163265306122448,0.01380085872009814,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007197869149968017,16,9782,15,1,530,9252,0.9375,0.027522935779816515,0.05418114904927418,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20863335767387467,17,9741,4,13,8,9733,0.23529411764705882,0.3333333333333333,0.0008212709167436608,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08199025273322944,17,9741,8,9,62,9679,0.47058823529411764,0.11428571428571428,0.006364849604763371,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.04525589913129854,17,9741,9,8,112,9629,0.5294117647058824,0.0743801652892562,0.011497792834411252,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007197869149968017,17,9741,15,2,537,9204,0.8823529411764706,0.02717391304347826,0.055127810286418236,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.20863335767387467,14,9724,1,13,25,9699,0.07142857142857142,0.038461538461538464,0.0025709584533113944,0.9778199741435034,0.05601879294183541
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.08199025273322944,14,9724,6,8,83,9641,0.42857142857142855,0.06741573033707865,0.00853558206499383,0.9778199741435034,0.05601879294183541
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.04525589913129854,14,9724,9,5,130,9594,0.6428571428571429,0.06474820143884892,0.013368983957219251,0.9778199741435034,0.05601879294183541
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007197869149968017,14,9724,13,1,499,9225,0.9285714285714286,0.025390625,0.05131633072809543,0.9778199741435034,0.05601879294183541
