experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32364412903785494,16,9782,4,12,16,9766,0.25,0.2,0.001635657329789409,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.109292679056525,16,9782,9,7,71,9711,0.5625,0.1125,0.007258229400940503,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06928961947560328,16,9782,11,5,116,9666,0.6875,0.08661417322834646,0.011858515640973216,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007842358853667967,16,9782,15,1,508,9274,0.9375,0.028680688336520075,0.05193212022081374,0.9445409936618279,0.13579221252671755
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32364412903785494,17,9741,5,12,17,9724,0.29411764705882354,0.22727272727272727,0.0017452006980802793,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.109292679056525,17,9741,8,9,48,9693,0.47058823529411764,0.14285714285714285,0.004927625500461965,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06928961947560328,17,9741,10,7,81,9660,0.5882352941176471,0.10989010989010989,0.008315368032029567,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007842358853667967,17,9741,14,3,432,9309,0.8235294117647058,0.03139013452914798,0.04434862950415768,0.9610137864816392,0.15295797287167265
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.32364412903785494,14,9724,1,13,24,9700,0.07142857142857142,0.04,0.0024681201151789387,0.9735338191220544,0.054750226349067566
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.109292679056525,14,9724,4,10,68,9656,0.2857142857142857,0.05555555555555555,0.006993006993006993,0.9735338191220544,0.054750226349067566
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06928961947560328,14,9724,9,5,96,9628,0.6428571428571429,0.08571428571428572,0.009872480460715755,0.9735338191220544,0.054750226349067566
feat_combo_roll30_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007842358853667967,14,9724,11,3,376,9348,0.7857142857142857,0.028423772609819122,0.03866721513780337,0.9735338191220544,0.054750226349067566
