experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.2579657437801359,16,9782,7,9,27,9755,0.4375,0.20588235294117646,0.002760171744019628,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.14135957702994292,16,9782,9,7,80,9702,0.5625,0.10112359550561797,0.008178286648947045,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.08661631241440776,16,9782,12,4,135,9647,0.75,0.08163265306122448,0.01380085872009814,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007958903908729551,16,9782,15,1,545,9237,0.9375,0.026785714285714284,0.05571457779595175,0.9752287364547129,0.19100001691225013
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.2579657437801359,17,9741,6,11,26,9715,0.35294117647058826,0.1875,0.0026691304794168977,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.14135957702994292,17,9741,8,9,60,9681,0.47058823529411764,0.11764705882352941,0.006159531875577456,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.08661631241440776,17,9741,9,8,105,9636,0.5294117647058824,0.07894736842105263,0.010779180782260549,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007958903908729551,17,9741,15,2,559,9182,0.8823529411764706,0.02613240418118467,0.057386305307463296,0.9673544810594396,0.1198886859238317
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.2579657437801359,14,9724,3,11,38,9686,0.21428571428571427,0.07317073170731707,0.00390785684903332,0.975362872421696,0.0650838698509964
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.14135957702994292,14,9724,6,8,83,9641,0.42857142857142855,0.06741573033707865,0.00853558206499383,0.975362872421696,0.0650838698509964
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.08661631241440776,14,9724,9,5,134,9590,0.6428571428571429,0.06293706293706294,0.013780337309749074,0.975362872421696,0.0650838698509964
feat_combo_roll30_diff,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.007958903908729551,14,9724,11,3,519,9205,0.7857142857142857,0.020754716981132074,0.05337309749074455,0.975362872421696,0.0650838698509964
