experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.33620676225423507,16,9782,5,11,19,9763,0.3125,0.20833333333333334,0.0019423430791249234,0.9667309854835412,0.20790276809155991
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.13348960533737889,16,9782,9,7,68,9714,0.5625,0.11688311688311688,0.006951543651604989,0.9667309854835412,0.20790276809155991
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.08217448070645417,16,9782,10,6,108,9674,0.625,0.0847457627118644,0.011040686976078512,0.9667309854835412,0.20790276809155991
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008468071091920075,16,9782,15,1,524,9258,0.9375,0.027829313543599257,0.05356777755060315,0.9667309854835412,0.20790276809155991
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.33620676225423507,17,9741,6,11,18,9723,0.35294117647058826,0.25,0.0018478595626732369,0.969449929648484,0.15962976523254396
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.13348960533737889,17,9741,8,9,55,9686,0.47058823529411764,0.12698412698412698,0.005646237552612668,0.969449929648484,0.15962976523254396
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.08217448070645417,17,9741,9,8,94,9647,0.5294117647058824,0.08737864077669903,0.009649933271738015,0.969449929648484,0.15962976523254396
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008468071091920075,17,9741,15,2,520,9221,0.8823529411764706,0.028037383177570093,0.05338260958833795,0.969449929648484,0.15962976523254396
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.33620676225423507,14,9724,1,13,24,9700,0.07142857142857142,0.04,0.0024681201151789387,0.9755318211200564,0.07851564157156776
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.13348960533737889,14,9724,7,7,84,9640,0.5,0.07692307692307693,0.008638420403126285,0.9755318211200564,0.07851564157156776
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.08217448070645417,14,9724,9,5,124,9600,0.6428571428571429,0.06766917293233082,0.012751953928424516,0.9755318211200564,0.07851564157156776
feat_full_critical,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008468071091920075,14,9724,11,3,439,9285,0.7857142857142857,0.024444444444444446,0.04514603044014809,0.9755318211200564,0.07851564157156776
