experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.36879075464604777,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183807,0.9345545389490901,0.1477428200419389
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14018295682966503,16,9782,7,9,49,9733,0.4375,0.125,0.005009200572480065,0.9345545389490901,0.1477428200419389
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07391840510070377,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9345545389490901,0.1477428200419389
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008448442397639012,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9345545389490901,0.1477428200419389
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4105303537845672,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9594255934588187,0.2033662914073682
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.11350539624690886,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9594255934588187,0.2033662914073682
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.05931738391518593,17,9741,11,6,98,9643,0.6470588235294118,0.10091743119266056,0.010060568730109845,0.9594255934588187,0.2033662914073682
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008826705627143383,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9594255934588187,0.2033662914073682
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4448148614466206,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9760460128107188,0.0626994880825925
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1784378155320883,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9760460128107188,0.0626994880825925
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07494602367282026,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9760460128107188,0.0626994880825925
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007401176355779176,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9760460128107188,0.0626994880825925
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.34199348908662375,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183807,0.9482531690860765,0.19294947713240887
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14285798609256356,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9482531690860765,0.19294947713240887
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07599931448698051,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9482531690860765,0.19294947713240887
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008035314828157407,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9482531690860765,0.19294947713240887
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.35331165671348597,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.934835776010435,0.1700736906468619
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.13323257118463416,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.934835776010435,0.1700736906468619
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06652274727821408,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.934835776010435,0.1700736906468619
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006723794620484114,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.934835776010435,0.1700736906468619
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.482784443974495,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.976494094141153,0.07054974521664552
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.16019304230809278,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.976494094141153,0.07054974521664552
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07994210802018709,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.976494094141153,0.07054974521664552
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006928063416853559,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.976494094141153,0.07054974521664552
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.32782870882749443,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183807,0.9407202003680228,0.17652819578766696
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.13740142665803354,16,9782,10,6,49,9733,0.625,0.1694915254237288,0.005009200572480065,0.9407202003680228,0.17652819578766696
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08347329907119291,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9407202003680228,0.17652819578766696
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008782282005995495,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9407202003680228,0.17652819578766696
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3596473181247734,17,9741,3,14,10,9731,0.17647058823529413,0.23076923076923078,0.001026588645929576,0.9409107652916417,0.1847742813237526
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1428935572504994,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9409107652916417,0.1847742813237526
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0688522234559063,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9409107652916417,0.1847742813237526
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007184204179793596,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9409107652916417,0.1847742813237526
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.46122231021523524,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9771331609566903,0.060007337994621816
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.18790598072111644,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9771331609566903,0.060007337994621816
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08866263069212456,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.9771331609566903,0.060007337994621816
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007864328706637027,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9771331609566903,0.060007337994621816
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.34538235121961663,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.962188202821509,0.1735568978516345
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14770760782062978,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.962188202821509,0.1735568978516345
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08755423232913057,16,9782,12,4,98,9684,0.75,0.10909090909090909,0.01001840114496013,0.962188202821509,0.1735568978516345
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007392707699909803,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.962188202821509,0.1735568978516345
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.36087615430355247,17,9741,5,12,10,9731,0.29411764705882354,0.3333333333333333,0.001026588645929576,0.9482780485153717,0.18128498514644095
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14044636040925818,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9482780485153717,0.18128498514644095
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.07035906761884701,17,9741,11,6,98,9643,0.6470588235294118,0.10091743119266056,0.010060568730109845,0.9482780485153717,0.18128498514644095
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006424604449421167,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9482780485153717,0.18128498514644095
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.47417119735479424,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9763398366339543,0.06397829430153258
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1894598968327049,14,9724,4,10,49,9675,0.2857142857142857,0.07547169811320754,0.005039078568490334,0.9763398366339543,0.06397829430153258
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08331196226179619,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.9763398366339543,0.06397829430153258
feat_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006753593566827477,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9763398366339543,0.06397829430153258
