experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.24625156399607537,16,9782,7,9,10,9772,0.4375,0.4117647058823529,0.0010222858311183807,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1524287611246109,16,9782,10,6,52,9730,0.625,0.16129032258064516,0.00531588632181558,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.11438502371311188,16,9782,11,5,99,9683,0.6875,0.1,0.010120629728071968,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.00904717147350311,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9741457524023718,0.3131730354279598
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.25919487118721135,17,9741,5,12,10,9731,0.29411764705882354,0.3333333333333333,0.001026588645929576,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1524287611246109,17,9741,8,9,52,9689,0.47058823529411764,0.13333333333333333,0.005338260958833795,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.09362737089395523,17,9741,9,8,101,9640,0.5294117647058824,0.08181818181818182,0.010368545323888718,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.010033699683845043,17,9741,14,3,489,9252,0.8235294117647058,0.027833001988071572,0.05020018478595627,0.9713702542920464,0.14961818921540254
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2900012135505676,14,9724,0,14,11,9713,0.0,0.0,0.0011312217194570137,0.98035053182112,0.07272304737889104
feat_asfd7_tuned,HGST_20HUH721212ALN604,xgboost_tuned,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.17759424559772027,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.98035053182112,0.07272304737889104
