experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3700011440217473,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9561056021263545,0.14669698901706277
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.13907874792813918,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9561056021263545,0.14669698901706277
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0810007199645045,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9561056021263545,0.14669698901706277
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.00712029919959596,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9561056021263545,0.14669698901706277
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.30506874203682033,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9564907576828083,0.20841132145322738
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.11727114245295468,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9564907576828083,0.20841132145322738
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.058072683960199455,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9564907576828083,0.20841132145322738
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007423859555274248,17,9741,13,4,488,9253,0.7647058823529411,0.02594810379241517,0.05009752592136331,0.9564907576828083,0.20841132145322738
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4437018371522428,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9652700240935536,0.034483345204376015
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.18554975144565133,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9652700240935536,0.034483345204376015
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.09696046285331528,14,9724,4,10,98,9626,0.2857142857142857,0.0392156862745098,0.010078157136980667,0.9652700240935536,0.034483345204376015
feat_cid14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0063620953354984605,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9652700240935536,0.034483345204376015
