experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2294027462750575,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183807,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.09810780409723505,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06392458036541952,16,9782,12,4,98,9684,0.75,0.10909090909090909,0.01001840114496013,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007974201720207926,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9517960284195461,0.1815331954005388
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1929393962025651,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.09934014901518662,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.05339126363396695,17,9741,8,9,98,9643,0.47058823529411764,0.07547169811320754,0.010060568730109845,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008113047108054161,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9671793571139573,0.21144671981381064
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.31262112674117165,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9778199741435034,0.05601879294183541
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.127178747132421,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.9778199741435034,0.05601879294183541
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.06632276535034264,14,9724,6,8,98,9626,0.42857142857142855,0.057692307692307696,0.010078157136980667,0.9778199741435034,0.05601879294183541
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007440640591084961,14,9724,13,1,487,9237,0.9285714285714286,0.026,0.05008227067050596,0.9778199741435034,0.05601879294183541
