experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.731228681206699,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9531856982212227,0.17211568829357518
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7023425102233887,16,9782,8,8,54,9728,0.5,0.12903225806451613,0.005520343488039256,0.9531856982212227,0.17211568829357518
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6942673921585083,16,9782,11,5,103,9679,0.6875,0.09649122807017543,0.01052954406051932,0.9531856982212227,0.17211568829357518
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0038374054711312056,16,9782,14,2,499,9283,0.875,0.02729044834307992,0.0510120629728072,0.9531856982212227,0.17211568829357518
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.7392116189002991,17,9741,2,15,11,9730,0.11764705882352941,0.15384615384615385,0.0011292475105225336,0.9390417700803759,0.09514728788804773
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.6965765953063965,17,9741,7,10,55,9686,0.4117647058823529,0.11290322580645161,0.005646237552612668,0.9390417700803759,0.09514728788804773
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6893736720085144,17,9741,7,10,99,9642,0.4117647058823529,0.0660377358490566,0.010163227594702803,0.9390417700803759,0.09514728788804773
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0038374054711312056,17,9741,12,5,509,9232,0.7058823529411765,0.023032629558541268,0.05225336207781542,0.9390417700803759,0.09514728788804773
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.7477806378602982,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.975197596521126,0.06470216226245976
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7081307768821716,14,9724,6,8,50,9674,0.42857142857142855,0.10714285714285714,0.005141916906622789,0.975197596521126,0.06470216226245976
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6917034387588501,14,9724,8,6,99,9625,0.5714285714285714,0.07476635514018691,0.010180995475113122,0.975197596521126,0.06470216226245976
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.003778350923676077,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.975197596521126,0.06470216226245976
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3888673503100821,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9528470660396647,0.22439421319344244
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14407317608594863,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9528470660396647,0.22439421319344244
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08667389705777236,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9528470660396647,0.22439421319344244
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.008989090751856506,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9528470660396647,0.22439421319344244
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4574266564846121,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9339360012560614,0.2105432952339055
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.14266949146985491,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9339360012560614,0.2105432952339055
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.072171872854233,17,9741,11,6,98,9643,0.6470588235294118,0.10091743119266056,0.010060568730109845,0.9339360012560614,0.2105432952339055
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007283356040716171,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9339360012560614,0.2105432952339055
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.48982151743769725,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9771919257213374,0.06141050952455815
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1839514026790858,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9771919257213374,0.06141050952455815
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.08786317124962834,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.9771919257213374,0.06141050952455815
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.00754545140080154,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9771919257213374,0.06141050952455815
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.4455840710699504,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9294910294418322,0.1874129632532557
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.30525961145758607,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9294910294418322,0.1874129632532557
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.2623343843221667,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9294910294418322,0.1874129632532557
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.009209933876991271,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9294910294418322,0.1874129632532557
feat_combo_asfd7_d1,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.46497485816478995,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9672971128704023,0.19388128255711626
