experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.5874177160859101,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.4610311889648436,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.4242606461048126,16,9782,11,5,101,9681,0.6875,0.09821428571428571,0.010325086894295645,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007518270052969456,16,9782,14,2,491,9291,0.875,0.027722772277227723,0.05019423430791249,0.9524189838478839,0.18542829407777311
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6148026418685919,17,9741,1,16,10,9731,0.058823529411764705,0.09090909090909091,0.001026588645929576,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.43903855085372884,17,9741,6,11,49,9692,0.35294117647058826,0.10909090909090909,0.005030284365054922,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.411237406730652,17,9741,7,10,98,9643,0.4117647058823529,0.06666666666666667,0.010060568730109845,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.007151211146265268,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9687494338665555,0.09453297247298428
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6197479656934738,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9719141152964682,0.06964628741202894
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.47633301779627835,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.9719141152964682,0.06964628741202894
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.41725079357624184,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9719141152964682,0.06964628741202894
feat_full_critical_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006837003864347935,14,9724,11,3,490,9234,0.7857142857142857,0.021956087824351298,0.05039078568490333,0.9719141152964682,0.06964628741202894
