experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.24677641531823535,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.0889213611185537,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.05676190275698962,16,9782,9,7,98,9684,0.5625,0.08411214953271028,0.01001840114496013,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006562645663507268,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9432663310161522,0.13179924865087303
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.17206587255001146,17,9741,4,13,10,9731,0.23529411764705882,0.2857142857142857,0.001026588645929576,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.07828489840030571,17,9741,7,10,49,9692,0.4117647058823529,0.125,0.005030284365054922,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.04826634749770191,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0057032760232687,17,9741,15,2,488,9253,0.8823529411764706,0.02982107355864811,0.05009752592136331,0.9708780956176742,0.179559032522628
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.25086582741141344,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9695818886995357,0.08208787737336763
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.09568058606237181,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9695818886995357,0.08208787737336763
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.062211768254637805,14,9724,5,9,98,9626,0.35714285714285715,0.04854368932038835,0.010078157136980667,0.9695818886995357,0.08208787737336763
feat_roll14,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.005959736066870393,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9695818886995357,0.08208787737336763
