experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6454109942316911,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.5136032643914209,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.4562930464744568,16,9782,11,5,99,9683,0.6875,0.1,0.010120629728071968,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006253006239421652,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6131135118007661,17,9741,2,15,10,9731,0.11764705882352941,0.16666666666666666,0.001026588645929576,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.4953616350889203,17,9741,6,11,49,9692,0.35294117647058826,0.10909090909090909,0.005030284365054922,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.4384540319442772,17,9741,7,10,98,9643,0.4117647058823529,0.06666666666666667,0.010060568730109845,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.006076235324144363,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6730831028223045,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.9767107892107891,0.06502669046066804
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.5182795596122743,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.9767107892107891,0.06502669046066804
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.4422188997268677,14,9724,8,6,99,9625,0.5714285714285714,0.07476635514018691,0.010180995475113122,0.9767107892107891,0.06502669046066804
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.004726414568722249,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9767107892107891,0.06502669046066804
