experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3648904808461646,16,9782,3,13,10,9772,0.1875,0.23076923076923078,0.0010222858311183807,0.9436912185647106,0.1990895658637021
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.18253117822110543,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9436912185647106,0.1990895658637021
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.11630481511354464,16,9782,9,7,98,9684,0.5625,0.08411214953271028,0.01001840114496013,0.9436912185647106,0.1990895658637021
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.009642514633014779,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9436912185647106,0.1990895658637021
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.3733943945169524,17,9741,3,14,10,9731,0.17647058823529413,0.23076923076923078,0.001026588645929576,0.9649691721468384,0.18795629903143493
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.13756242990493747,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9649691721468384,0.18795629903143493
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0925232142210012,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9649691721468384,0.18795629903143493
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.011177103035151958,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9649691721468384,0.18795629903143493
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.40933849549293544,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9729902450490686,0.09554969225830622
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.18250497192144405,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.9729902450490686,0.09554969225830622
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.11834132611751592,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9729902450490686,0.09554969225830622
feat_triple_asfd7_diff_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0079753015190363,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9729902450490686,0.09554969225830622
