experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1661539525985647,16,9782,3,13,16,9766,0.1875,0.15789473684210525,0.001635657329789409,0.9630060314864036,0.15138174671139662
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05670993581414083,16,9782,5,11,68,9714,0.3125,0.0684931506849315,0.006951543651604989,0.9630060314864036,0.15138174671139662
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.028471076302230374,16,9782,10,6,118,9664,0.625,0.078125,0.012062972807196893,0.9630060314864036,0.15138174671139662
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003291977290064087,16,9782,12,4,461,9321,0.75,0.02536997885835095,0.04712737681455735,0.9630060314864036,0.15138174671139662
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1661539525985647,17,9741,6,11,11,9730,0.35294117647058826,0.35294117647058826,0.0011292475105225336,0.9488940017029294,0.207860057278067
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05670993581414083,17,9741,8,9,51,9690,0.47058823529411764,0.13559322033898305,0.005235602094240838,0.9488940017029294,0.207860057278067
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.028471076302230374,17,9741,9,8,92,9649,0.5294117647058824,0.0891089108910891,0.009444615542552099,0.9488940017029294,0.207860057278067
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003291977290064087,17,9741,13,4,378,9363,0.7647058823529411,0.03324808184143223,0.03880505081613797,0.9488940017029294,0.207860057278067
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1661539525985647,14,9724,1,13,23,9701,0.07142857142857142,0.041666666666666664,0.002365281777046483,0.9665408121290474,0.05144793832360178
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.05670993581414083,14,9724,3,11,68,9656,0.21428571428571427,0.04225352112676056,0.006993006993006993,0.9665408121290474,0.05144793832360178
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.028471076302230374,14,9724,6,8,112,9612,0.42857142857142855,0.05084745762711865,0.011517893870835048,0.9665408121290474,0.05144793832360178
feat_since_start,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.003291977290064087,14,9724,10,4,390,9334,0.7142857142857143,0.025,0.040106951871657755,0.9665408121290474,0.05144793832360178
