arm,arm_desc,model,far_target,n_failed,n_healthy,tp,fn,fp,tn,roc_auc,recall,precision,far
asfd7_tuned,ASFD7일 + Optuna 튜닝 (Proposed),xgboost_tuned,0.001,235,146235,89,146,389,145846,0.969964486064844,0.37872340425531914,0.18619246861924685,0.002660101890792218
diff,차분만 (diff_lags 1/7/30),xgboost,0.001,235,146235,81,154,339,145896,0.9712512032383572,0.3446808510638298,0.19285714285714287,0.0023181864806646837
asfd14,"ASFD(차분 절대합), 14일만",xgboost,0.001,47,29247,16,31,85,29162,0.9572951450630579,0.3404255319148936,0.15841584158415842,0.0029062809860840428
combo_asfd14_d1,ASFD14일 + 차분 1일만,xgboost,0.001,47,29247,16,31,78,29169,0.9555830783928009,0.3404255319148936,0.1702127659574468,0.0026669401989947686
combo_roll30_diff,롤링30일 + 차분(1/7/30),xgboost,0.001,47,29247,16,31,91,29156,0.9726486966452828,0.3404255319148936,0.14953271028037382,0.0031114302321605634
roll14,"롤링 평균·표준편차, 14일만",xgboost,0.001,47,29247,16,31,84,29163,0.9612421051111207,0.3404255319148936,0.16,0.0028720894450712893
combo_asfd7_d1,ASFD7일 + 차분 1일만,xgboost,0.001,235,146235,76,159,376,145859,0.9605056460909015,0.32340425531914896,0.168141592920354,0.002571203884159059
rolling,롤링 평균·표준편차만 (7/30일),xgboost,0.001,47,29247,15,32,90,29157,0.9663029821050876,0.3191489361702128,0.14285714285714285,0.00307723869114781
scope_all,"차분+롤링+누적 전부, 존재하는 SMART 18개 전체",xgboost,0.001,47,29247,15,32,93,29154,0.9731079133979934,0.3191489361702128,0.1388888888888889,0.0031798133141860705
triple_asfd7_diff_since_start,ASFD7일 + 차분 + 누적,xgboost,0.001,47,29247,15,32,62,29185,0.9605502119202058,0.3191489361702128,0.19480519480519481,0.0021198755427907136
combo_asfd7_diff,ASFD7일 + 차분(1/7/30),xgboost,0.001,235,146235,73,162,348,145887,0.9698639383428406,0.31063829787234043,0.17339667458432304,0.0023797312544876397
asfd7,"ASFD(차분 절대합), 7일만",xgboost,0.001,235,146235,72,163,388,145847,0.9555221612124096,0.30638297872340425,0.1565217391304348,0.0026532635825896674
roll7,"롤링 평균·표준편차, 7일만",xgboost,0.001,47,29247,14,33,59,29188,0.966430019217261,0.2978723404255319,0.1917808219178082,0.002017300919752453
roll30,"롤링 평균·표준편차, 30일만",xgboost,0.001,47,29247,13,34,92,29155,0.9687234268022683,0.2765957446808511,0.12380952380952381,0.003145621773173317
cid14,"CID(복잡도 추정치), 14일만",xgboost,0.001,47,29247,12,35,63,29184,0.9592887946342388,0.2553191489361702,0.16,0.002154067083803467
cid30,"CID(복잡도 추정치), 30일만",xgboost,0.001,47,29247,12,35,72,29175,0.9612706360781207,0.2553191489361702,0.14285714285714285,0.002461790952918248
combo_asfd14_diff,ASFD14일 + 차분(1/7/30),xgboost,0.001,47,29247,12,35,67,29180,0.9674830000665272,0.2553191489361702,0.1518987341772152,0.002290833247854481
full_critical,"차분+롤링+누적 전부 (critical, 나이 제외)",xgboost,0.001,47,29247,12,35,61,29186,0.9705709120840272,0.2553191489361702,0.1643835616438356,0.00208568400177796
scope_all_champion,승자 조합(ASFD7일+차분)을 SMART 18개 전체로 확장,xgboost,0.001,47,29247,12,35,57,29190,0.974373062907807,0.2553191489361702,0.17391304347826086,0.0019489178377269463
cid7,"CID(복잡도 추정치), 7일만",xgboost,0.001,47,29247,11,36,69,29178,0.9522345330342944,0.23404255319148937,0.1375,0.002359216329879988
triple_asfd7_diff_roll30,ASFD7일 + 차분 + 롤링30일,xgboost,0.001,47,29247,11,36,65,29182,0.9609951210265136,0.23404255319148937,0.14473684210526316,0.0022224501658289738
combo_asfd7_cid30,ASFD7일 + CID30일,xgboost,0.001,47,29247,10,37,46,29201,0.9655984532256688,0.2127659574468085,0.17857142857142858,0.0015728108865866585
combo_roll30_asfd7,롤링30일 + ASFD7일 (공동 1위 결합),xgboost,0.001,47,29247,10,37,57,29190,0.9596961997551738,0.2127659574468085,0.14925373134328357,0.0019489178377269463
full_critical_age,차분+롤링+누적+나이 전부 (features.yaml 원래 기본값과 동일),xgboost,0.001,47,29247,10,37,61,29186,0.9643608443369693,0.2127659574468085,0.14084507042253522,0.00208568400177796
since_start,segment 시작 이후 누적 증가량만,xgboost,0.001,47,29247,10,37,50,29197,0.9594802817727935,0.2127659574468085,0.16666666666666666,0.0017095770506376723
combo_asfd28_d1,ASFD28일 + 차분 1일만,xgboost,0.001,47,29247,9,38,51,29196,0.9592723328989008,0.19148936170212766,0.15,0.0017437685916504256
combo_roll30_cid30,롤링30일 + CID30일,xgboost,0.001,47,29247,9,38,57,29190,0.9522337153985174,0.19148936170212766,0.13636363636363635,0.0019489178377269463
triple_asfd7_diff_age,ASFD7일 + 차분 + 나이,xgboost,0.001,47,29247,9,38,56,29191,0.9657340655444832,0.19148936170212766,0.13846153846153847,0.001914726296714193
triple_asfd7_diff_cid30,ASFD7일 + 차분 + CID30일,xgboost,0.001,47,29247,9,38,61,29186,0.9653136599191727,0.19148936170212766,0.12857142857142856,0.00208568400177796
raw_only,"파생 없음, SMART 원값 18개만 (baseline 대조군)",xgboost,0.001,235,146235,41,194,252,145983,0.9581642477810555,0.17446808510638298,0.13993174061433447,0.0017232536670427736
age,"나이만 (age_days, segment_age_days)",xgboost,0.001,47,29247,7,40,63,29184,0.9552870224015813,0.14893617021276595,0.1,0.002154067083803467
asfd28,"ASFD(차분 절대합), 28일만",xgboost,0.001,47,29247,7,40,81,29166,0.9525655955582596,0.14893617021276595,0.07954545454545454,0.002769514822033029
